Heart Rate,Solar Intensity,Noise,Cars,Pedestrains,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,Altitudes
94.0,892.0,66.2,0.0,3.0,0.586815516,0.0042394,0.0,0.009068171,0.0,0.000804901,0.04006513,2.54e-05,0.0044384,50.0
94.0,1090.0,66.8,0.0,0.0,0.167446136,1.08e-05,0.00431633,0.00579071,0.0,0.000158946,0.20893987,0.007508596,0.199785868,50.0
95.0,1306.0,67.4,0.0,0.0,0.074700673,0.0,0.008452733,0.002061844,0.0,0.000286102,0.318605423,0.013563156,0.192732493,50.0
97.0,1353.0,67.1,2.0,0.0,0.044049581,2.8e-05,0.014854431,0.001434962,0.0,6.99e-06,0.379248301,0.008005142,0.114274343,50.0
99.0,3275.0,68.8,1.0,0.0,0.069541931,5.72e-06,0.011234283,0.007596334,2.35e-05,0.002329508,0.328362783,0.009453456,0.115902583,50.0
99.0,3458.0,68.6,0.0,0.0,0.068689982,0.0,0.000185649,0.005346298,0.0,0.001066208,0.355281194,0.029637019,0.034008662,51.0
100.0,2594.0,73.2,0.0,0.0,0.038143794,3.18e-06,0.000736237,0.004181544,3.94e-05,0.000123342,0.459328334,0.024702072,0.048089981,52.0
101.0,3542.0,72.0,0.0,0.0,0.054222743,0.001582464,0.000174205,0.004483541,1.27e-06,0.00365448,0.179343541,0.034550985,0.296059291,52.0
102.0,4638.0,71.2,0.0,0.0,0.08301417,0.009460449,0.0,0.003151576,0.0,1.84e-05,0.279740016,0.037051519,0.190872828,53.0
102.0,6458.0,71.0,0.0,0.0,0.108665466,0.020561854,2.23e-05,0.001166026,0.0,0.00014178,0.198579152,0.002072652,0.313833872,54.0
100.0,6550.0,72.0,0.0,0.0,0.02710406,0.005257289,0.002027512,0.003815969,0.0,0.000243505,0.187110901,0.034755071,0.308235168,54.2
101.0,6280.0,71.7,0.0,0.0,0.00385348,1.91e-06,0.000481923,0.001567841,0.0,0.001071294,0.477464676,0.033258438,0.129440943,56.1
109.0,6599.0,71.8,0.0,0.0,0.006319682,0.000509898,0.000785192,0.000439962,1.65e-05,0.000598907,0.437211355,0.015837351,0.285636266,57.3
108.0,6834.0,72.1,0.0,0.0,0.002199809,5.85e-05,0.001220067,0.0004673,0.0,1.91e-05,0.46029218,0.021065394,0.249422709,54.4
110.0,7447.0,72.2,0.0,0.0,0.015616099,2.92e-05,0.003553391,0.001710256,0.0,0.000532786,0.396917343,0.034971237,0.11946551,50.3
113.0,18300.0,72.2,0.0,0.0,0.041553497,0.002340317,0.006206512,0.001650492,0.0,2.1e-05,0.511697769,0.079057058,0.091433843,50.2
115.0,47938.0,73.2,0.0,0.0,0.045615514,0.002550125,0.001532237,0.00358518,0.0,5.21e-05,0.394704819,0.118731817,0.089131037,49.2
116.0,59201.0,72.2,0.0,0.0,0.048148473,0.001104991,0.000827789,0.003394445,0.0,0.000789642,0.417942683,0.043711344,0.188766479,48.1
120.0,48483.0,71.9,0.0,0.0,0.104025523,0.0,0.000161489,0.00944519,0.0,0.00028801,0.257623037,0.093907674,0.214862823,47.9
122.0,50589.0,71.5,0.0,0.0,0.070148468,0.00023969,0.001006444,0.002527873,0.0,0.00093778,0.572544098,0.001713435,0.065270742,47.5
123.0,51481.0,71.0,0.0,0.0,0.022526423,0.000795364,4.51e-05,0.001008352,0.0,1.4e-05,0.592025121,0.00720787,0.151490529,47.1
122.0,42885.0,70.7,0.0,0.0,0.043044408,0.006185532,6.36e-07,0.004152298,0.000176112,0.000923793,0.288190206,0.100245158,0.306495031,45.9
121.0,13584.0,69.4,0.0,0.0,0.021193186,0.000631968,2.35e-05,0.00512441,0.0,0.001054128,0.225744247,0.136592865,0.329110463,44.3
119.0,13888.0,69.1,0.0,0.0,0.057511012,0.000366847,0.0,0.006493251,0.0,8.01e-05,0.138770421,0.036075592,0.354440689,43.3
118.0,54567.0,69.4,0.0,0.0,0.054574966,0.000211716,0.0,0.010133108,0.0,0.000175476,0.171681086,0.034809113,0.329058965,43.2
118.0,12096.0,69.2,0.0,0.0,0.051813761,0.000265121,0.001030604,0.003969193,0.0,0.000528336,0.484867732,0.05780983,0.057120641,42.8
117.0,11047.0,70.0,0.0,0.0,0.083207448,2.54e-06,0.000424067,0.006574631,0.0,0.000961939,0.185211182,0.034211477,0.279876709,40.4
116.0,12068.0,69.1,0.0,0.0,0.099266688,0.000118891,0.000258128,0.005901337,0.0,6.36e-07,0.276187261,0.042919795,0.221542994,40.8
118.0,41667.0,68.2,0.0,0.0,0.104991913,0.0,0.00702858,0.008781433,0.0,0.000693003,0.247656504,0.011217117,0.207845052,45.5
120.0,11647.0,67.4,0.0,0.0,0.062028885,5.72e-06,0.000650406,0.005051931,0.0,0.000390371,0.411547343,0.037911097,0.105206807,45.0
121.0,12387.0,67.3,0.0,0.0,0.031062444,9.54e-06,0.000235875,0.006933212,0.0,8.65e-05,0.467112859,0.047224045,0.070656459,44.1
121.0,14494.0,66.7,1.0,0.0,0.045069377,0.0,8.27e-06,0.004010518,1.14e-05,0.001621246,0.168397903,0.03178215,0.334634781,44.0
119.0,36188.0,66.8,1.0,0.0,0.102378209,0.000501633,0.001282374,0.009169261,0.0,0.004673004,0.114917119,0.048863093,0.305182775,44.0
118.0,24787.0,66.4,2.0,0.0,0.226619085,4.45e-06,8.9e-05,0.004142125,0.0,0.000337601,0.13617897,0.002483368,0.185797373,44.3
117.0,11980.0,66.1,3.0,0.0,0.231003443,0.0,6.36e-07,0.003442128,0.0,7.5e-05,0.183865865,0.025989532,0.024337769,44.5
116.0,10208.0,65.2,0.0,0.0,0.227453232,6.36e-07,0.0,0.004947027,0.0,2.03e-05,0.132384618,0.011865616,0.235733032,43.9
115.0,8806.0,64.9,0.0,0.0,0.12130928,0.001255671,8.2e-05,0.004921595,0.0,0.000176748,0.168818156,0.044605891,0.233522415,43.0
116.0,6517.0,64.6,0.0,0.0,0.188144684,0.026712418,4.45e-05,0.002674739,0.0,1.91e-05,0.118123372,0.015811284,0.232119878,42.0
115.0,9225.0,63.6,0.0,0.0,0.237284978,0.005112966,0.001874924,0.002591451,0.0,5.4e-05,0.120889664,0.010300318,0.199400584,41.9
115.0,51025.0,65.2,2.0,0.0,0.292569478,0.007226944,0.017820994,0.00592804,0.0,4.07e-05,0.04213206,0.007683436,0.204289754,40.4
112.0,41548.0,64.4,2.0,0.0,0.255496343,0.000497182,0.000490189,0.008490245,0.0,0.00069809,0.04564031,0.006624222,0.228002548,41.9
111.0,14862.0,65.4,2.0,0.0,0.224082947,0.000130971,0.001459757,0.004688263,0.0,0.000335693,0.05023702,0.028951645,0.244442622,40.0
112.0,14183.0,70.8,0.0,1.0,0.369496663,0.0,0.000429153,0.005407333,0.0,0.000804901,0.034817378,0.004254023,0.128803889,39.8
114.0,42503.0,67.6,0.0,0.0,0.348988215,0.002562205,0.000755946,0.006085714,0.0,8.84e-05,0.045704524,0.000299454,0.166269938,42.4
115.0,44269.0,66.5,0.0,0.0,0.350914637,0.001917521,0.003919601,0.022571564,0.0,0.000806808,0.086439133,3.5e-05,0.16809082,42.9
116.0,14995.0,66.1,3.0,0.0,0.618872325,6.93e-05,0.001673381,0.003252029,0.0,0.000177383,0.086084366,0.002712886,0.111996969,43.3
118.0,14135.0,65.0,2.0,0.0,0.348526001,4.64e-05,0.001988093,0.003077825,0.0,0.000209808,0.111260096,0.000106812,0.125411352,45.9
118.0,13737.0,64.1,3.0,0.0,0.442558289,0.001820882,0.002680461,0.003288269,0.0,0.0,0.253672282,0.003241221,0.093172073,43.5
117.0,13354.0,63.2,1.0,0.0,0.508750916,0.004653295,0.011957804,0.003392537,0.0,0.000348409,0.154118856,0.046603521,0.053671519,45.4
111.0,8503.0,62.1,2.0,0.0,0.194334666,0.000325521,4.9e-05,0.011067708,0.0,1.78e-05,0.127656937,0.01372846,0.194610596,48.9
114.0,13293.0,62.5,0.0,0.0,0.037993113,0.0,0.0,0.00346756,0.0,0.000830332,0.351494471,0.078844706,0.288529714,45.8
120.0,12542.0,62.4,0.0,0.0,0.034046809,0.002031962,0.0,0.00298055,0.0,0.002811432,0.278520584,0.118233999,0.302702586,44.8
127.0,726.0,62.3,0.0,0.0,0.023963292,0.000765483,0.0,0.000794093,0.0,0.000123342,0.623140335,0.04788208,0.067553838,41.9
130.0,598.0,64.9,0.0,0.0,0.022067388,0.000254313,1.53e-05,0.000321706,0.0,8.9e-05,0.575382233,0.032131195,0.09947141,53.1
134.0,90.0,66.1,0.0,0.0,0.035102844,0.000484467,0.013177236,0.004507065,0.0,0.000274022,0.528738658,0.03805987,0.116183599,57.6
132.0,97.0,63.9,0.0,2.0,0.274876912,0.00021108,0.005651474,0.001448313,0.0,0.0,0.402570724,0.020907084,0.021506627,68.7
128.0,8552.0,71.9,0.0,1.0,0.068590164,0.0,2.92e-05,0.005510966,0.0,0.001181285,0.349377314,0.063079198,0.216770808,71.8
124.0,6308.0,67.7,1.0,0.0,0.119807561,0.001899719,0.00082461,0.010837555,5.28e-05,0.003798803,0.138342539,0.211285273,0.270968119,73.6
121.0,6631.0,64.4,0.0,0.0,0.144858678,0.000310898,2.61e-05,0.004512787,0.0,0.002485911,0.128878276,0.088403702,0.303314845,71.5
118.0,5774.0,64.0,0.0,0.0,0.216386159,0.0,8.58e-05,0.007314682,2.1e-05,0.002560298,0.150754929,0.021388372,0.27477773,68.6
117.0,5762.0,69.1,1.0,0.0,0.02783076,5.15e-05,0.000775655,0.009817759,0.0,0.000340144,0.367218018,0.050095876,0.227432251,62.8
117.0,6461.0,69.2,0.0,0.0,0.013043086,0.001051585,0.001167297,0.008506139,0.0,0.000895182,0.252857844,0.014502843,0.298018138,61.7
116.0,7114.0,66.4,0.0,3.0,0.016213099,2.54e-06,0.000413895,0.002069473,0.0,0.00057284,0.376927058,0.052101771,0.258163452,62.1
114.0,46829.0,74.7,2.0,11.0,0.006135941,7.12e-05,0.000172933,0.00245285,0.0,6.61e-05,0.328116099,0.184251785,0.251155217,60.8
111.0,38470.0,83.4,1.0,5.0,0.0003287,5.21e-05,0.0,0.003472646,0.0,1.27e-06,0.368270238,0.134634654,0.212163925,59.5
111.0,8945.0,72.0,0.0,0.0,0.002810796,0.000762304,0.001551946,0.003781001,0.0,0.00013415,0.558335622,0.077674866,0.026745478,58.8
110.0,8444.0,76.6,0.0,0.0,0.022445679,0.000113169,6.36e-07,0.001331329,0.0,8.96e-05,0.539857864,0.106633504,0.013447444,57.9
114.0,7657.0,75.0,0.0,0.0,0.058641434,0.0,0.0,0.00070254,0.0,0.000232697,0.503492991,0.051668803,0.029054642,55.5
113.0,8204.0,71.4,0.0,0.0,0.013310115,0.0,0.0,0.004749298,0.0,0.001515706,0.56181399,0.100477854,0.002796173,53.4
109.0,6978.0,78.0,0.0,0.0,0.003130595,3.18e-06,0.0,0.000506719,0.0,7.63e-06,0.493224462,0.162597656,0.040964127,52.3
109.0,3714.0,73.2,0.0,0.0,0.012599945,0.0,0.0,0.000256856,0.0,6.36e-07,0.569734573,0.081311544,0.02022934,51.4
112.0,3506.0,77.4,0.0,0.0,0.150047302,6.61e-05,0.000440598,0.008167903,0.0,0.000308355,0.342782338,0.056686401,0.005338669,51.7
108.0,5749.0,73.5,0.0,0.0,0.123458227,0.0,0.001609802,0.005016963,0.0,0.000108719,0.401381175,0.125528971,0.108455022,52.5
107.0,6091.0,68.2,0.0,0.0,0.068283081,6.36e-07,3.81e-06,0.002048492,0.0,5.09e-06,0.462731043,0.12595431,0.001218796,52.1
106.0,6668.0,64.4,0.0,0.0,0.623338064,0.0,0.0,0.003601074,0.0,1.14e-05,0.115931829,0.004288356,0.014814377,52.5
108.0,7256.0,71.7,0.0,0.0,0.770496368,0.0,0.0,0.000581106,0.0,0.0,0.049355189,6.42e-05,0.0,52.0
107.0,7412.0,72.9,0.0,0.0,0.560316722,0.0,0.0,0.003291448,0.0,3.12e-05,0.232278824,0.0,0.01334699,52.0
105.0,7179.0,69.2,0.0,0.0,0.555912018,0.000175476,0.005839666,0.000320435,0.0,3.75e-05,0.078170141,0.012964249,0.017831802,52.0
