id,X,Y,Heart Rate,Solar Intensity,Noise,Cars,Pedestrains,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,Altitudes
1,103.7702304,1.296996802,96.0,242.0,62.8,0.0,0.0,0.586815516,0.0042394,0.0,0.009068171,0.0,0.000804901,0.04006513,2.54e-05,0.0044384,50.0
2,103.7702192,1.297058369,100.0,456.0,62.9,0.0,1.0,0.167446136,1.08e-05,0.00431633,0.00579071,0.0,0.000158946,0.20893987,0.007508596,0.199785868,50.0
3,103.7701632,1.297110608,104.0,753.0,61.5,0.0,0.0,0.074700673,0.0,0.008452733,0.002061844,0.0,0.000286102,0.318605423,0.013563156,0.192732493,50.0
4,103.7701346,1.297199642,106.0,1515.0,61.4,3.0,0.0,0.044049581,2.8e-05,0.014854431,0.001434962,0.0,6.99e-06,0.379248301,0.008005142,0.114274343,50.0
5,103.7701488,1.29731603,106.0,2309.0,60.4,0.0,0.0,0.069541931,5.72e-06,0.011234283,0.007596334,2.35e-05,0.002329508,0.328362783,0.009453456,0.115902583,50.0
6,103.7701678,1.29740629,105.0,3262.0,60.0,1.0,0.0,0.068689982,0.0,0.000185649,0.005346298,0.0,0.001066208,0.355281194,0.029637019,0.034008662,51.0
7,103.7701845,1.297525054,103.0,3796.0,60.4,0.0,0.0,0.038143794,3.18e-06,0.000736237,0.004181544,3.94e-05,0.000123342,0.459328334,0.024702072,0.048089981,52.0
8,103.7701963,1.297643817,103.0,4322.0,61.0,0.0,0.0,0.054222743,0.001582464,0.000174205,0.004483541,1.27e-06,0.00365448,0.179343541,0.034550985,0.296059291,52.0
9,103.7702058,1.297772082,104.0,4081.0,60.4,0.0,0.0,0.08301417,0.009460449,0.0,0.003151576,0.0,1.84e-05,0.279740016,0.037051519,0.190872828,53.0
10,103.770194,1.297912223,105.0,3952.0,60.3,0.0,0.0,0.108665466,0.020561854,2.23e-05,0.001166026,0.0,0.00014178,0.198579152,0.002072652,0.313833872,54.0
11,103.7701678,1.298033362,107.0,4781.0,61.3,0.0,0.0,0.02710406,0.005257289,0.002027512,0.003815969,0.0,0.000243505,0.187110901,0.034755071,0.308235168,54.2
12,103.7701274,1.298161626,108.0,4359.0,61.2,0.0,0.0,0.00385348,1.91e-06,0.000481923,0.001567841,0.0,0.001071294,0.477464676,0.033258438,0.129440943,56.1
13,103.77003,1.298420531,108.0,4547.0,64.4,0.0,0.0,0.006319682,0.000509898,0.000785192,0.000439962,1.65e-05,0.000598907,0.437211355,0.015837351,0.285636266,57.3
14,103.7700775,1.298275639,110.0,3932.0,62.9,3.0,2.0,0.002199809,5.85e-05,0.001220067,0.0004673,0.0,1.91e-05,0.46029218,0.021065394,0.249422709,54.4
15,103.7700229,1.298574923,112.0,3673.0,63.0,0.0,0.0,0.015616099,2.92e-05,0.003553391,0.001710256,0.0,0.000532786,0.396917343,0.034971237,0.11946551,50.3
16,103.7700348,1.298719815,115.0,3811.0,63.0,1.0,0.0,0.041553497,0.002340317,0.006206512,0.001650492,0.0,2.1e-05,0.511697769,0.079057058,0.091433843,50.2
17,103.7700466,1.298833828,118.0,4187.0,81.4,0.0,0.0,0.045615514,0.002550125,0.001532237,0.00358518,0.0,5.21e-05,0.394704819,0.118731817,0.089131037,49.2
18,103.7700562,1.298947841,115.0,5412.0,73.1,0.0,0.0,0.048148473,0.001104991,0.000827789,0.003394445,0.0,0.000789642,0.417942683,0.043711344,0.188766479,48.1
19,103.7700918,1.299042851,117.0,5732.0,62.8,1.0,0.0,0.104025523,0.0,0.000161489,0.00944519,0.0,0.00028801,0.257623037,0.093907674,0.214862823,47.9
20,103.7701037,1.29920912,118.0,6058.0,62.2,0.0,0.0,0.070148468,0.00023969,0.001006444,0.002527873,0.0,0.00093778,0.572544098,0.001713435,0.065270742,47.5
21,103.7701156,1.299399142,119.0,6549.0,63.6,0.0,0.0,0.022526423,0.000795364,4.51e-05,0.001008352,0.0,1.4e-05,0.592025121,0.00720787,0.151490529,47.1
22,103.7701298,1.299610541,117.0,6587.0,62.9,0.0,0.0,0.043044408,0.006185532,6.36e-07,0.004152298,0.000176112,0.000923793,0.288190206,0.100245158,0.306495031,45.9
23,103.7701417,1.299795812,120.0,5905.0,64.1,0.0,0.0,0.021193186,0.000631968,2.35e-05,0.00512441,0.0,0.001054128,0.225744247,0.136592865,0.329110463,44.3
24,103.7701631,1.299969206,122.0,7718.0,64.3,0.0,0.0,0.057511012,0.000366847,0.0,0.006493251,0.0,8.01e-05,0.138770421,0.036075592,0.354440689,43.3
