,Month,Hour,"Rain, mm, #01 - Kent Vale (Rooftop)","Wind Speed, m/s, #01 - Kent Vale (Rooftop)","Gust Speed, m/s, #01 - Kent Vale (Rooftop)","Wind Direction, *, #01 - Kent Vale (Rooftop)","Solar Radiation, W/m^2, #01 - Kent Vale (Rooftop)","Temperature, *C, #01 - Kent Vale (Rooftop)","RH, %, #01 - Kent Vale (Rooftop)","Dew Point, *C, #01 - Kent Vale (Rooftop)"
0,1,0,0.0,0.727419355,1.645860215,247.2247312,1.0,26.71047312,88.90731183,24.73351075
1,1,1,0.0,0.688172043,1.564301075,248.6715054,1.0,26.49660215,89.5872043,24.64786559
2,1,2,0.000107527,0.693870968,1.573010753,246.4301075,1.0,26.28451075,90.40741935,24.59175806
3,1,3,0.0,0.695698925,1.555752688,254.0258065,1.0,26.12253226,91.19822581,24.57801613
4,1,4,0.0,0.697419355,1.544462366,257.3548387,1.0,25.99519355,91.93725806,24.59212366
5,1,5,0.0,0.701666667,1.53672043,258.3231183,1.0,25.93570968,92.28327957,24.59954301
6,1,6,0.0,0.715967742,1.550430108,257.3451613,1.071428571,25.89610753,92.38026882,24.57424731
7,1,7,0.0,0.701182796,1.517634409,254.0225806,37.52261905,26.09254839,92.14467742,24.72779032
8,1,8,0.0,0.78172043,1.703870968,242.3166667,176.0166667,27.25756452,88.16048387,25.13167742
9,1,9,0.0,1.058064516,2.273225806,239.8462366,332.3833333,28.35469355,83.55139785,25.30612903
10,1,10,0.0,1.073333333,2.344677419,231.9037634,483.625,29.50761828,77.99935484,25.25584409
11,1,11,0.0,1.046666667,2.244086022,220.3827957,533.6416667,30.52486022,73.62602151,25.25618817
12,1,12,0.000967742,1.090645161,2.325268817,212.922043,556.4857143,31.14126344,70.66112903,25.13835582
13,1,13,0.012365591,1.057541544,2.27558651,206.2321114,514.352381,31.52374536,69.06316227,25.0604
14,1,14,0.031935484,1.090537634,2.34952957,201.0451613,452.6559524,31.55349328,68.7352957,24.96933065
15,1,15,0.006989247,1.099193548,2.298333333,200.6301075,320.0678571,31.09572043,70.59376344,24.96576344
16,1,16,0.015806452,1.117526882,2.315215054,195.2139785,203.8940476,30.30351613,73.2916129,24.80828495
17,1,17,0.003225806,1.204569892,2.444731183,197.6456989,112.4642857,29.57684946,76.10892473,24.7822957
18,1,18,0.008064516,1.167526882,2.397419355,214.1752688,38.45,29.02305376,77.7872043,24.67252688
19,1,19,0.018602151,1.034354839,2.17172043,222.2827957,1.876190476,28.21601613,81.06935484,24.60476344
20,1,20,0.000645161,0.965107527,2.029677419,229.8446237,1.0,27.73869892,83.30854839,24.62438172
21,1,21,0.0,0.912688172,1.949139785,236.3096774,1.0,27.39677419,85.15564516,24.66318817
22,1,22,0.000537634,0.829354839,1.795967742,234.827957,1.0,27.16334946,86.69591398,24.74419355
23,1,23,0.000645161,0.837150538,1.791129032,238.9021505,1.0,27.00155914,87.69935484,24.78187146
24,2,0,0.0,0.765862069,1.694712644,234.8195402,1.0,26.96394253,88.2054023,24.85470115
25,2,1,0.000344828,0.781896552,1.700689655,240.791954,1.0,26.76079885,89.1441954,24.83444828
26,2,2,0.0,0.698275862,1.569885057,238.6218391,1.0,26.57884483,90.30706897,24.87482184
27,2,3,0.000344828,0.673965517,1.497413793,247.1936782,1.0,26.4022931,91.19183908,24.8655
28,2,4,0.002643678,0.709942529,1.544137931,238.4212644,1.0,26.26155747,91.86057471,24.84748276
29,2,5,0.018850575,0.672758621,1.483275862,240.6206897,1.0,26.07023563,92.50183908,24.77292529
30,2,6,0.003678161,0.713678161,1.555172414,243.3189655,1.43,25.96555747,92.69155172,24.70264368
31,2,7,0.0,0.810517241,1.745632184,245.0333333,57.12,26.20393103,91.87977011,24.7861954
32,2,8,0.000114943,0.900287356,1.898448276,239.0862069,213.5066667,27.26113218,88.63183908,25.2253908
33,2,9,0.0,1.136091954,2.392873563,233.0413793,375.2816667,28.39345977,83.9037931,25.41695977
34,2,10,0.000114943,1.259252874,2.627356322,226.762069,564.5666667,29.55054023,77.80206897,25.26455172
35,2,11,0.0,1.19591954,2.536091954,219.6074713,696.43,30.64852874,72.90977011,25.21139655
36,2,12,0.000229885,1.21137931,2.633103448,214.1137931,691.8483333,31.35861494,69.41373563,25.05014368
37,2,13,0.000804598,1.212528736,2.608965517,211.7011494,685.175,31.88552299,67.48321839,25.05105172
38,2,14,0.007241379,1.335344828,2.828218391,204.8310345,507.08,31.79581609,67.44408046,24.87967816
39,2,15,0.002528736,1.242241379,2.728850575,217.8201149,326.7433333,31.26670115,68.54936782,24.64290805
40,2,16,0.004137931,1.183505747,2.636206897,224.3252874,251.3333333,30.96113793,69.50431034,24.5753908
41,2,17,0.003448276,1.218793103,2.630229885,222.4454023,143.3316667,30.14807471,72.2154023,24.45599425
42,2,18,0.001149425,1.222011494,2.587011494,229.7965517,33.59666667,29.25139655,76.24258621,24.55966092
43,2,19,0.000114943,1.10408046,2.372126437,231.8632184,1.598333333,28.47681609,79.82925287,24.62152874
