,Month,Hour,"Solar Radiation, W/m^2, #10 - Temasek Rooftop","Temperature, *C, #10 - Temasek Rooftop","RH, %, #10 - Temasek Rooftop","Dew Point, *C, #10 - Temasek Rooftop","Wind Speed, m/s, #10 - Temasek Rooftop","Gust Speed, m/s, #10 - Temasek Rooftop","Wind Direction, *, #10 - Temasek Rooftop"
0,1,0,1.0,26.6550914,89.04327957,24.70283871,0.760698925,1.547688172,122.6870968
1,1,1,1.0,26.39483871,89.88397849,24.60455914,0.709569892,1.444731183,139.288172
2,1,2,1.0,26.15821505,90.91935484,24.56375806,0.690376344,1.414301075,130.4344086
3,1,3,1.0,26.01244086,91.63456989,24.55073656,0.682580645,1.373602151,122.5526882
4,1,4,1.0,25.85052151,92.42768817,24.53860753,0.607634409,1.235967742,141.0935484
5,1,5,1.0,25.7721129,93.03580645,24.57419355,0.615537634,1.242204301,140.5860215
6,1,6,1.105208333,25.74118817,93.11376344,24.5548172,0.61327957,1.23016129,135.2639785
7,1,7,31.53020833,26.08488172,92.57483871,24.79737634,0.61188172,1.217096774,151.6424731
8,1,8,133.2072917,27.87616129,86.97026882,25.50959677,0.811989247,1.590913978,148.6677419
9,1,9,265.30625,29.46808065,80.64715054,25.79275806,1.143064516,2.254139785,136.4139785
10,1,10,424.8270833,30.78982796,74.65026882,25.74746237,1.292903226,2.55155914,142.9241935
11,1,11,565.803125,31.86894624,70.25354839,25.74204301,1.367956989,2.613709677,154.8688172
12,1,12,620.54375,32.27269355,67.73204301,25.48750717,1.467795699,2.803763441,149.9091398
13,1,13,576.6336806,32.34297849,66.88759857,25.26158333,1.477544803,2.789032258,141.583871
14,1,14,474.6744792,32.23917473,66.94494624,25.14790323,1.463064516,2.806102151,136.3967742
15,1,15,419.5548611,31.74406989,68.84578853,25.13666667,1.440967742,2.703566308,144.3897849
16,1,16,281.4307292,30.9033172,71.5780914,24.9421586,1.494462366,2.735107527,142.3346774
17,1,17,139.4708333,30.04632796,75.065,24.9577043,1.371989247,2.556774194,132.4430108
18,1,18,49.36770833,29.24983333,77.22629032,24.74817742,1.227634409,2.319569892,119.6150538
19,1,19,2.116666667,28.22915591,81.0338172,24.60177957,1.147956989,2.210107527,124.1483871
20,1,20,1.0,27.71183871,83.31903226,24.59137097,1.033172043,2.021182796,125.2462366
21,1,21,1.0,27.36547849,85.17623656,24.6357043,0.92844086,1.833494624,116.6177419
22,1,22,1.0,27.11309677,86.73537634,24.70280988,0.793978495,1.608978495,119.9247312
23,1,23,1.0,26.91573656,87.9783871,24.73053333,0.736182796,1.509301075,118.8139785
24,2,0,1.0,26.89829885,88.32333333,24.81389655,0.757183908,1.545689655,112.6850575
25,2,1,1.0,26.66415517,89.48689655,24.80455172,0.688735632,1.413333333,122.3028736
26,2,2,1.0,26.48072414,90.71522989,24.85516667,0.662873563,1.355977011,131.6247126
27,2,3,1.0,26.28295402,91.63908046,24.83199425,0.637241379,1.297816092,124.1942529
28,2,4,1.0,26.14145402,92.34270115,24.81852874,0.621264368,1.293850575,135.6057471
29,2,5,1.0,25.94971264,93.02045977,24.75009195,0.61454023,1.251954023,139.8086207
30,2,6,1.457407407,25.82613218,93.41258621,24.69598276,0.592816092,1.211206897,144.1764368
31,2,7,42.1537037,26.20913218,92.40833333,24.88370115,0.680804598,1.38545977,141.75
32,2,8,167.8111111,27.79316092,87.50856322,25.52775287,0.909942529,1.811724138,147.7856322
33,2,9,306.3037037,29.45491954,80.99247126,25.85222989,1.183678161,2.32091954,143.258046
34,2,10,484.6425926,30.87608621,74.29672414,25.75866092,1.346206897,2.629310345,150.8270115
35,2,11,621.9018519,31.89271264,69.78022989,25.64518966,1.419885057,2.765574713,147.8155172
36,2,12,701.2740741,32.58981609,66.33005747,25.44368391,1.531724138,2.966609195,144.595977
37,2,13,740.0314815,32.92997701,64.48281609,25.26562069,1.54683908,3.019310345,138.1862069
38,2,14,570.9703704,32.44761494,65.53367816,24.99147126,1.689655172,3.197126437,139.0431034
39,2,15,409.7740741,31.87937931,67.0083908,24.80938506,1.522011494,2.965114943,132.416092
40,2,16,344.4592593,31.49381034,67.83408046,24.64781609,1.478045977,2.899827586,113.108046
41,2,17,203.65,30.7437069,70.47827586,24.58455747,1.395977011,2.754885057,116.912069
42,2,18,57.22037037,29.61463793,74.93149425,24.60159195,1.290402299,2.549712644,121.0482759
43,2,19,1.909259259,28.48189655,79.65637931,24.58667816,1.121034483,2.207528736,113.9385057
44,2,20,1.0,27.88759195,82.68517241,24.66294253,1.012586207,2.056896552,123.7385057
45,2,21,1.0,27.44951149,85.15591954,24.74082759,1.003390805,2.006321839,123.1218391
46,2,22,1.0,27.10698851,86.93022989,24.74913218,0.908275862,1.81637931,126.845977
47,2,23,1.0,26.90832759,88.07298851,24.77670115,0.789885057,1.631091954,130.6310345
48,3,0,1.0,26.98858602,89.59354839,25.13165591,0.610430108,1.232311828,141.9602151
49,3,1,1.0,26.76142473,90.68129032,25.11802151,0.55672043,1.147526882,121.9833333
50,3,2,1.0,26.59996237,91.34612903,25.08480645,0.545913978,1.108494624,136.2489247
51,3,3,1.0,26.42937634,92.17322581,25.06948387,0.526344086,1.069462366,138.372043
52,3,4,1.0,26.31639247,92.67145161,25.04970968,0.537258065,1.072258065,129.5521505
53,3,5,1.0,26.30346237,92.56349462,25.01701075,0.538817204,1.092688172,145.5037634
54,3,6,1.06,26.24417742,92.82994624,25.00639785,0.507903226,1.032150538,134.2354839
55,3,7,41.01,26.62623656,92.32155914,25.29173118,0.523548387,1.048709677,153.4817204
56,3,8,174.1933333,28.50067204,86.46784946,26.03139785,0.816774194,1.582956989,153.8956989
57,3,9,331.6083333,29.997,80.13086022,26.18768817,1.135860215,2.177311828,136.8295699
58,3,10,385.2433333,30.85310215,75.1861828,25.8958871,1.316505376,2.505967742,146.5209677
59,3,11,481.3516667,31.93146774,70.66005376,25.83180108,1.28516129,2.440430108,143.7376344
60,3,12,462.5333333,32.50924731,67.77763441,25.68401613,1.227419355,2.333225806,151.1010753
61,3,13,490.1533333,32.83220968,66.6627957,25.66852151,1.318924731,2.450430108,144.4827957
62,3,14,469.0266667,32.54367742,67.40387097,25.5803172,1.514623656,2.747419355,135.8225806
63,3,15,348.485,31.9432957,69.18048387,25.44287634,1.49983871,2.770537634,136.5467742
64,3,16,213.3633333,31.14258065,71.80204301,25.26504839,1.496397849,2.72,138.8069892
65,3,17,121.6716667,30.31448925,74.65731183,25.11649462,1.325430108,2.422043011,130.2903226
66,3,18,38.68833333,29.53775269,77.21747312,24.99499462,1.054623656,1.968548387,128.5521505
67,3,19,1.815,28.71609677,80.25150538,24.89460753,0.975,1.842741935,121.2494624
68,3,20,1.0,28.22065054,82.6544086,24.94372581,0.854892473,1.687419355,118.427957
69,3,21,1.0,27.8451129,84.89290323,25.0571828,0.766344086,1.555806452,106.5456989
