,Month,Hour,"Solar Radiation, W/m^2, #11 - IT bus stop","Temperature, *C, #11 - IT bus stop","RH, %, #11 - IT bus stop","Dew Point, *C, #11 - IT bus stop","Wind Speed, m/s, #11 - IT bus stop","Gust Speed, m/s, #11 - IT bus stop","Wind Direction, *, #11 - IT bus stop"
0,1,0,1.0,26.52206989,89.94747312,24.73801613,0.360053763,0.735268817,102.2693548
1,1,1,1.0,26.29302151,90.56424731,24.62587097,0.370107527,0.742258065,107.9763441
2,1,2,1.0,26.08276882,91.49462366,24.59034946,0.321397849,0.662795699,100.6994624
3,1,3,1.0,25.9076129,92.3238172,24.56893548,0.314731183,0.644086022,111.4736559
4,1,4,1.0,25.76853226,93.05,24.56663441,0.289354839,0.601397849,102.5784946
5,1,5,1.0,25.67634946,93.64956989,24.58719892,0.26311828,0.56172043,100.6236559
6,1,6,1.095238095,25.61691398,93.93569892,24.5794086,0.245913978,0.536021505,96.63494624
7,1,7,20.84880952,25.77787097,94.00112903,24.75162366,0.258924731,0.551505376,96.15322581
8,1,8,113.4761905,26.95326344,90.65290323,25.30267742,0.381935484,0.815752688,103.9413978
9,1,9,319.6738095,28.65858602,84.08639785,25.71084946,0.565591398,1.16655914,109.1408602
10,1,10,470.1464286,30.37972581,76.85795699,25.84317742,0.63516129,1.319301075,118.6854839
11,1,11,501.5214286,31.69631183,71.54725806,25.86948925,0.680645161,1.372849462,121.1526882
12,1,12,449.0666667,32.02467204,69.26247312,25.61191935,0.732741935,1.461344086,122.8543011
13,1,13,454.4714286,32.05597361,68.51018573,25.37727761,0.769643206,1.500210166,126.465347
14,1,14,343.6666667,31.96496282,68.39677191,25.24297438,0.761222832,1.514095173,129.2428506
15,1,15,337.8809524,31.47785484,70.42849462,25.24490323,0.723172043,1.447204301,128.0129032
16,1,16,254.2595238,30.70222781,73.06494374,25.07175156,0.713818455,1.408643411,117.1417104
17,1,17,121.8630952,29.81101613,76.49569892,25.01754301,0.630430108,1.270322581,124.0806452
18,1,18,29.83809524,29.00915591,78.71139785,24.8206129,0.556451613,1.14327957,127.7129032
19,1,19,1.552380952,28.12520968,81.92354839,24.67504839,0.490107527,1.034462366,119.4806452
20,1,20,1.0,27.57695161,84.34978495,24.66009677,0.448709677,0.931397849,110.1096774
21,1,21,1.0,27.22438172,86.24010753,24.69834409,0.417634409,0.864139785,113.6860215
22,1,22,1.0,26.98615591,87.74043011,24.76729647,0.372365591,0.788870968,116.4811828
23,1,23,1.0,26.81667742,88.83736559,24.79087778,0.355268817,0.750591398,121.8080645
24,2,0,1.0,26.86958621,88.73718391,24.86512069,0.353678161,0.747471264,133.4867816
25,2,1,1.0,26.66132184,89.73925287,24.84926437,0.316091954,0.685977011,130.4287356
26,2,2,1.0,26.46744253,90.8958046,24.87348276,0.303333333,0.647356322,120.2304598
27,2,3,1.0,26.28114368,91.84689655,24.86636207,0.271149425,0.593218391,120.2436782
28,2,4,1.0,26.10041379,92.70545977,24.84245977,0.280344828,0.594712644,108.9505747
29,2,5,1.0,25.92292529,93.31747126,24.77593103,0.291494253,0.606264368,115.7189655
30,2,6,1.433333333,25.78843678,93.67574713,24.70524713,0.292413793,0.606494253,107.8994253
31,2,7,28.23166667,26.00008621,93.2191954,24.82706322,0.315172414,0.685172414,110.8683908
32,2,8,138.33,27.05575287,90.45873563,25.36359195,0.444712644,0.941609195,110.8643678
33,2,9,323.8333333,28.73481034,84.03948276,25.77478736,0.574252874,1.184482759,112.8603448
34,2,10,502.34,30.57898851,75.99057471,25.85114943,0.672068966,1.377643678,121.083908
35,2,11,512.0383333,31.75070115,70.67988506,25.71408621,0.709482759,1.474482759,138.1701149
36,2,12,500.9966667,32.43617816,67.23804598,25.50966667,0.763850575,1.536724138,127.2258621
37,2,13,492.645,32.70955172,65.81597701,25.37858621,0.820114943,1.651896552,119.4281609
38,2,14,329.0066667,32.44763218,66.25413793,25.14650575,0.841954023,1.707126437,126.3482759
39,2,15,263.25,31.92738506,67.54264368,24.95005172,0.782931034,1.593793103,123.5609195
40,2,16,219.045,31.7000977,68.09264368,24.86775287,0.72137931,1.506781609,128.5149425
41,2,17,130.4666667,30.78817241,70.95712644,24.71694828,0.652298851,1.37683908,123.1678161
42,2,18,25.715,29.54896552,75.52545977,24.66437356,0.552528736,1.179310345,126.2172414
43,2,19,1.27,28.50575287,79.90741379,24.65326437,0.51045977,1.075632184,123.5206897
44,2,20,1.0,27.9066092,82.91028736,24.71883908,0.466666667,0.977241379,122.3442529
45,2,21,1.0,27.47888506,85.34051724,24.80220115,0.445804598,0.939425287,116.3873563
46,2,22,1.0,27.0853908,87.3841954,24.81262069,0.400574713,0.862413793,120.5683908
47,2,23,1.0,26.87713218,88.60091954,24.84207471,0.383448276,0.810862069,119.8827586
48,3,0,1.0,26.79048925,90.78919355,25.15722581,0.304623656,0.61483871,120.9446237
49,3,1,1.0,26.57205376,91.82989247,25.13945161,0.290860215,0.58,130.9666667
50,3,2,1.0,26.4102043,92.48892473,25.10298387,0.24483871,0.51688172,129.7392473
51,3,3,1.0,26.26854839,93.19693548,25.09545161,0.247956989,0.512849462,140.1602151
52,3,4,1.0,26.15817742,93.60596774,25.0615,0.220752688,0.461935484,136.1596774
53,3,5,1.0,26.11189785,93.6994086,25.03393011,0.222473118,0.47344086,118.7489247
54,3,6,1.051666667,26.04851613,93.91010753,25.00871505,0.237204301,0.492849462,127.8962366
55,3,7,26.66833333,26.22189785,93.86376344,25.17163441,0.243010753,0.512311828,114.8258065
56,3,8,121.08,27.36419892,90.80967742,25.73899462,0.40311828,0.832311828,114.3935484
57,3,9,315.8433333,29.21347849,83.57473118,26.13443548,0.543010753,1.123602151,128.4370968
58,3,10,369.2766667,30.80803763,76.27311828,26.08387634,0.648924731,1.341075269,133.1967742
59,3,11,405.4433333,31.73825806,71.73983871,25.88722581,0.635806452,1.308709677,143.0193548
60,3,12,320.37,32.09116129,69.47451613,25.66102688,0.630860215,1.288064516,156.5725806
61,3,13,376.2,32.25453763,68.61704301,25.59572581,0.686397849,1.365537634,145.3897849
62,3,14,329.4783333,32.09646774,69.17419355,25.57405914,0.752849462,1.486935484,148.4397849
63,3,15,284.66,31.59213978,70.73951613,25.47212366,0.726397849,1.450430108,142.8752688
64,3,16,171.6216667,30.91677419,73.14284946,25.35634409,0.703064516,1.404354839,133.8763441
65,3,17,98.42666667,30.19232796,75.43311828,25.17115054,0.619677419,1.241236559,142.1930108
66,3,18,28.03333333,29.44518817,77.88258065,25.04641935,0.459247312,0.944784946,140.0032258
