,Month,Hour,"Solar Radiation, W/m^2, #12 - Green Area Next to PGP","Temperature, *C, #12 - Green Area Next to PGP","RH, %, #12 - Green Area Next to PGP","Dew Point, *C, #12 - Green Area Next to PGP","Wind Speed, m/s, #12 - Green Area Next to PGP","Gust Speed, m/s, #12 - Green Area Next to PGP","Wind Direction, *, #12 - Green Area Next to PGP"
0,1,0,1.0,26.0166129,91.8683871,24.60277957,0.266774194,0.637204301,185.2989247
1,1,1,1.0,25.78205914,92.59586022,24.50174731,0.25516129,0.605322581,199.4209677
2,1,2,1.0,25.52782796,93.58301075,24.43013441,0.23344086,0.549946237,203.1295699
3,1,3,1.0,25.3888172,94.31387097,24.42582258,0.217096774,0.520322581,202.2010753
4,1,4,1.0,25.26576882,94.82139785,24.39597312,0.215913978,0.513172043,200.8887097
5,1,5,1.0,25.14482796,95.48032258,24.39341935,0.182258065,0.452258065,203.2333333
6,1,6,1.020238095,25.10235484,95.75516129,24.40085484,0.191827957,0.46516129,200.9494624
7,1,7,13.90238095,25.25322581,95.70811828,24.54356452,0.179354839,0.442580645,197.6430108
8,1,8,56.7547619,26.32494624,93.04112903,25.12624194,0.305806452,0.704569892,182.5951613
9,1,9,121.5690476,27.72669892,87.6661828,25.50210215,0.520645161,1.122150538,155.9215054
10,1,10,183.7571429,29.05094086,81.67532258,25.59369892,0.642473118,1.338225806,146.1612903
11,1,11,440.4202381,30.52414516,76.27129032,25.84549462,0.63844086,1.332365591,147.4736559
12,1,12,571.2952381,31.39401613,72.6877957,25.84,0.65688172,1.33827957,141.9897849
13,1,13,549.4527211,31.61940937,71.54377112,25.72391398,0.593095238,1.259047619,145.4900922
14,1,14,458.9083333,31.69927554,70.99164651,25.64331788,0.571008065,1.211169355,152.0202957
15,1,15,374.9760204,31.22555684,73.08924731,25.62964977,0.500046083,1.067311828,154.599232
16,1,16,271.4199405,30.46911761,75.17896505,25.3613172,0.469516129,1.023319892,162.6647849
17,1,17,93.88571429,29.16162903,79.44064516,25.08109677,0.427096774,0.950591398,163.1005376
18,1,18,28.29761905,28.29568817,82.14096774,24.87169892,0.404623656,0.884354839,168.2876344
19,1,19,1.65,27.48849462,84.77623656,24.64822043,0.355053763,0.820913978,171.4247312
20,1,20,1.0,26.96307527,87.0533871,24.60315054,0.342258065,0.783225806,171.9236559
21,1,21,1.0,26.60062366,88.92263441,24.61957527,0.294892473,0.69827957,173.8951613
22,1,22,1.0,26.3762043,90.21419355,24.64863441,0.270967742,0.643548387,176.6392473
23,1,23,1.0,26.22703763,91.1977957,24.69283529,0.267419355,0.639354839,181.0301075
24,2,0,1.0,26.2157931,91.4045977,24.7276092,0.266666667,0.620057471,188.591954
25,2,1,1.0,26.02085057,92.31304598,24.70042529,0.248505747,0.593735632,191.5965517
26,2,2,1.0,25.84903448,93.3558046,24.71914368,0.222988506,0.534022989,189.7017241
27,2,3,1.0,25.6929023,94.07810345,24.69396552,0.212298851,0.516436782,199.1034483
28,2,4,1.0,25.52818966,94.78103448,24.6541954,0.20137931,0.49045977,202.7873563
29,2,5,1.0,25.36094253,95.40281609,24.59716667,0.183563218,0.459482759,206.5770115
30,2,6,1.190740741,25.23916667,95.72695402,24.53264368,0.167011494,0.431724138,203.404023
31,2,7,20.33888889,25.44453448,95.31752874,24.66292529,0.203333333,0.49454023,191.8206897
32,2,8,65.78888889,26.46760345,92.7854023,25.22163218,0.337931034,0.775402299,173.2201149
33,2,9,108.0851852,27.77581034,87.6762069,25.5523046,0.532126437,1.150517241,152.9678161
34,2,10,202.3333333,29.08523372,81.43661558,25.58472925,0.6549553,1.376526181,142.9075351
35,2,11,407.2851852,30.36904167,75.94202381,25.6157619,0.689404762,1.444880952,139.0214286
36,2,12,606.1611111,31.5525119,71.05178571,25.60627381,0.720059524,1.515238095,142.8125
37,2,13,625.1854167,32.119875,68.6660119,25.534875,0.727797619,1.5175,138.8684524
38,2,14,487.3666667,32.03827976,68.51529762,25.33865476,0.710595238,1.491309524,136.5946429
39,2,15,353.59375,31.44459524,69.76619048,25.065375,0.687440476,1.468333333,152.6166667
40,2,16,281.1666667,31.04720833,70.88279762,24.94008333,0.62625,1.368511905,158.4702381
41,2,17,95.58333333,29.60447024,74.76619048,24.51734524,0.573333333,1.257321429,159.8869048
42,2,18,25.06666667,28.62096429,79.02095238,24.55085119,0.503988095,1.110178571,155.0345238
43,2,19,1.2875,27.68332143,82.99625,24.49694643,0.428571429,0.967261905,162.0392857
44,2,20,1.0,27.161625,85.91214286,24.58939286,0.397857143,0.888214286,170.4077381
45,2,21,1.0,26.8090119,87.78922619,24.61959524,0.376071429,0.853690476,167.1607143
46,2,22,1.0,26.47183333,89.59482143,24.63231548,0.348095238,0.793452381,167.8553571
47,2,23,1.0,26.29867262,90.59732143,24.65249405,0.329404762,0.737559524,174.025
48,3,0,1.0,26.23651613,92.70854839,24.9711828,0.179139785,0.441236559,205.9634409
49,3,1,1.0,26.03810753,93.64241935,24.94633871,0.165268817,0.405860215,213.9069892
50,3,2,1.0,25.91220968,94.11053763,24.90728495,0.172043011,0.427580645,220.1741935
51,3,3,1.0,25.77010753,94.73166667,24.87907527,0.154946237,0.39516129,225.5510753
52,3,4,1.0,25.66440323,95.15311828,24.85047849,0.142043011,0.36172043,225.0268817
53,3,5,1.0,25.57975806,95.46274194,24.82236559,0.131935484,0.35172043,233.566129
54,3,6,1.004166667,25.52035484,95.74521505,24.81376882,0.120322581,0.320537634,239.8806452
55,3,7,16.07638889,25.64982796,95.7938172,24.94994624,0.111182796,0.290913978,232.5967742
56,3,8,59.30694444,26.77174731,93.16064516,25.58712366,0.253763441,0.596935484,188.438172
57,3,9,102.6708333,28.17213978,87.37489247,25.87735484,0.470860215,1.033494624,162.4252688
58,3,10,153.5013889,29.28826344,81.78645161,25.82746237,0.562311828,1.188494624,156.0467742
59,3,11,335.8861111,30.44251613,76.69983871,25.81553226,0.581827957,1.198870968,160.7962366
60,3,12,461.9833333,31.35527419,73.27209677,25.88430108,0.56155914,1.152634409,164.3586022
61,3,13,451.95,31.80562903,72.02086022,26.00654301,0.513333333,1.070053763,147.0865591
62,3,14,419.225,32.0018871,71.92,26.15754301,0.478763441,1.02172043,145.7795699
