,Month,Hour,"Solar Radiation, W/m^2, #13 - PGP residence","Temperature, *C, #13 - PGP residence","RH, %, #13 - PGP residence","Dew Point, *C, #13 - PGP residence","Wind Speed, m/s, #13 - PGP residence","Gust Speed, m/s, #13 - PGP residence","Wind Direction, *, #13 - PGP residence"
0,1,0,1.0,27.10713978,87.01182796,24.75739785,0.606236559,1.155430108,233.7870968
1,1,1,1.0,26.87483871,87.70650538,24.66203226,0.586344086,1.126451613,241.7322581
2,1,2,1.0,26.65097312,88.66397849,24.62463441,0.564462366,1.07016129,243.6672043
3,1,3,1.0,26.49294086,89.49892473,24.62656989,0.551182796,1.052580645,250.5107527
4,1,4,1.0,26.32027419,90.32774194,24.6154086,0.550645161,1.030215054,253.7204301
5,1,5,1.0,26.24160753,90.79989247,24.63045161,0.529139785,0.997311828,249.027957
6,1,6,1.048245614,26.2004086,90.86365591,24.60151613,0.510645161,0.958225806,250.2252688
7,1,7,20.90964912,26.36036559,90.63715054,24.71769355,0.549032258,1.02344086,241.544086
8,1,8,112.6666667,27.30521505,87.5888172,25.06597849,0.708870968,1.329677419,236.5069892
9,1,9,285.1368421,28.62987634,82.37639785,25.32619892,0.912526882,1.75672043,226.7897849
10,1,10,461.7692982,29.88043548,76.52688172,25.27838172,1.041774194,1.984784946,224.6365591
11,1,11,554.522807,30.9123871,72.21607527,25.29253226,0.997096774,1.928870968,215.9827957
12,1,12,533.8561404,31.54471505,69.19091398,25.16119691,0.963225806,1.869086022,206.8107527
13,1,13,400.3881579,31.80474798,67.84670699,25.01687778,0.910141129,1.761599462,198.2297715
14,1,14,290.5357143,31.98271505,67.30692012,25.00921659,0.863571429,1.699032258,196.1327189
15,1,15,267.341886,31.49495027,69.37265457,25.01576882,0.809408602,1.626666667,199.6844758
16,1,16,178.1706767,30.78964132,71.93736559,24.91842704,0.795545315,1.587703533,200.8951613
17,1,17,63.86491228,29.91527419,75.32456989,24.88886022,0.788602151,1.581290323,197.3198925
18,1,18,22.84912281,29.36835484,76.82876344,24.77055376,0.799462366,1.595430108,212.1919355
19,1,19,1.545614035,28.64004839,79.45102151,24.66148387,0.771451613,1.515107527,215.4268817
20,1,20,1.0,28.10383871,81.78155914,24.65416129,0.735860215,1.415,225.3543011
21,1,21,1.0,27.79938172,83.34768817,24.69217204,0.681236559,1.327311828,219.5053763
22,1,22,1.0,27.56952151,84.81973118,24.76808602,0.63655914,1.237795699,220.5709677
23,1,23,1.0,27.3771129,86.03978495,24.82954839,0.635645161,1.209247312,230.3080645
24,2,0,1.0,27.34655172,86.31666667,24.86592529,0.678965517,1.280114943,233.5189655
25,2,1,1.0,27.12948276,87.40051724,24.8651954,0.638850575,1.191206897,241.2063218
26,2,2,1.0,26.97094828,88.45597701,24.91256897,0.62183908,1.155632184,238.1425287
27,2,3,1.0,26.76201149,89.50701149,24.90822989,0.6,1.098678161,252.7022989
28,2,4,1.0,26.62760345,90.09534483,24.88291954,0.603563218,1.107413793,249.1206897
29,2,5,1.0,26.44059195,90.79195402,24.8282069,0.565057471,1.034712644,250.287931
30,2,6,1.283333333,26.32928736,91.03155172,24.75875862,0.547356322,1.028678161,252.3603448
