,Month,Hour,"Rain, mm, #14 - PGP block 2 rooftop","Solar Radiation, W/m^2, #14 - PGP block 2 rooftop","Temperature, *C, #14 - PGP block 2 rooftop","RH, %, #14 - PGP block 2 rooftop","Dew Point, *C, #14 - PGP block 2 rooftop","Wind Speed, m/s, #14 - PGP block 2 rooftop","Gust Speed, m/s, #14 - PGP block 2 rooftop","Wind Direction, *, #14 - PGP block 2 rooftop"
0,1,0,0.0,1.0,26.68039785,87.90155914,24.51349462,0.832741935,1.599086022,140.1043011
1,1,1,0.0,1.0,26.44474731,88.53392473,24.39897849,0.832688172,1.620698925,139.9731183
2,1,2,0.000430108,1.0,26.22228495,89.51317204,24.36445699,0.789354839,1.509784946,141.7150538
3,1,3,0.000107527,1.0,26.06778495,90.29822581,24.35903226,0.729784946,1.397365591,146.9397849
4,1,4,0.0,1.0,25.9011828,91.13494624,24.35374731,0.646935484,1.265752688,146.3462366
5,1,5,0.0,1.0,25.82754839,91.56193548,24.36244624,0.620967742,1.226451613,144.3091398
6,1,6,0.0,1.166666667,25.80914516,91.54408602,24.33974731,0.602741935,1.191021505,139.7865591
7,1,7,0.000107527,39.35166667,26.10317204,91.0144086,24.53416129,0.633172043,1.25811828,151.6784946
8,1,8,0.0,177.9916667,27.52076882,86.57053763,25.08553763,0.839139785,1.646505376,150.3870968
9,1,9,0.0,341.3283333,28.79687097,81.75053763,25.37131183,1.066129032,2.086505376,151.9145161
10,1,10,0.0,503.5733333,29.86809677,76.72182796,25.32741935,1.120591398,2.220268817,159.3091398
11,1,11,0.0,578.4266667,30.75430108,72.96564516,25.32620968,1.28516129,2.438655914,164.4645161
12,1,12,0.004301075,653.945,31.18925269,70.46236559,25.12591729,1.42172043,2.650376344,169.4811828
13,1,13,0.011827957,609.4916667,31.398134,69.27842432,24.97643889,1.417787428,2.615554177,180.3005376
14,1,14,0.030461733,533.275,31.34969133,69.21361164,24.89051455,1.579993675,2.855496521,182.4778621
15,1,15,0.001182796,408.9516667,31.08577998,70.48527709,24.92214268,1.523403639,2.768296112,185.0260546
16,1,16,0.024731183,334.6883333,30.52517963,72.59617331,24.83197533,1.521650854,2.772286528,185.6817521
17,1,17,0.005591398,154.5266667,29.92294086,74.99129032,24.82169892,1.324462366,2.475698925,176.1327957
18,1,18,0.022150538,51.49833333,29.20580108,76.96575269,24.65211828,1.213333333,2.30188172,156.9516129
19,1,19,0.010107527,1.928333333,28.24906452,80.28333333,24.47139247,1.15188172,2.183548387,158.677957
20,1,20,0.001935484,1.0,27.72649462,82.48564516,24.44410215,0.96983871,1.86655914,155.8263441
21,1,21,0.000107527,1.0,27.3876828,84.24935484,24.47840323,0.976290323,1.85483871,138.6790323
22,1,22,0.000215054,1.0,27.14606989,85.72403226,24.53965054,0.902526882,1.707096774,137.5962366
23,1,23,0.000645161,1.0,26.97580108,86.88016129,24.60610753,0.864354839,1.635376344,137.0795699
24,2,0,0.0,1.0,26.9609023,87.16028736,24.65704023,0.78454023,1.500517241,136.2833333
25,2,1,0.000114943,1.0,26.74325862,88.17126437,24.63949425,0.732126437,1.420229885,136.754023
26,2,2,0.0,1.0,26.55948276,89.23551724,24.65988506,0.650229885,1.28454023,137.7522989
27,2,3,0.000344828,1.0,26.36648276,90.20770115,24.65252874,0.609827586,1.23045977,140.045977
28,2,4,0.00183908,1.0,26.2191954,90.79436782,24.61236782,0.630804598,1.235574713,144.5275862
29,2,5,0.014252874,1.0,26.0289023,91.50252874,24.554,0.596034483,1.186666667,141.6183908
30,2,6,0.002298851,1.523333333,25.93132184,91.7216092,24.49499425,0.590804598,1.189827586,148.2057471
31,2,7,0.0,50.24333333,26.24752874,90.73270115,24.61802874,0.71591954,1.406724138,146.4775862
32,2,8,0.0,200.3283333,27.60962644,86.73074713,25.20225287,0.92362069,1.760574713,146.6850575
33,2,9,0.0,380.11,28.99542529,81.48229885,25.50871839,1.027701149,2.043678161,149.1494253
34,2,10,0.000574713,566.8766667,30.01597701,76.28367816,25.3853908,1.153505747,2.289770115,157.25
35,2,11,0.001034483,673.6916667,30.75741379,72.57873563,25.22916092,1.322011494,2.54454023,160.4137931
36,2,12,0.000114943,714.3033333,31.44687356,69.28545977,25.09926437,1.418505747,2.709022989,171.5643678
37,2,13,0.000804598,676.9283333,31.8043046,67.30586207,24.93614368,1.538045977,2.871206897,176.1454023
38,2,14,0.02091954,493.6633333,31.6949023,67.37545977,24.76489655,1.565689655,2.911436782,174.6011494
39,2,15,0.004137931,357.4233333,31.29083333,68.28390805,24.58176437,1.516149425,2.882471264,164.7867816
40,2,16,0.002413793,313.4016667,31.1825977,68.70333333,24.57155747,1.446034483,2.74362069,159.7396552
41,2,17,0.002528736,193.84,30.77852874,70.2812069,24.58485057,1.352241379,2.582988506,158.0270115
42,2,18,0.001494253,52.42333333,29.72985057,74.45045977,24.60903448,1.258793103,2.399827586,148.1931034
43,2,19,0.000574713,1.773333333,28.5433046,78.92229885,24.49097701,1.098390805,2.089367816,140.0954023
44,2,20,0.000229885,1.0,27.95551724,81.95454023,24.58086207,0.99,1.923103448,140.883908
45,2,21,0.0,1.0,27.54813793,83.97155172,24.60347701,0.891206897,1.763218391,130.8908046
46,2,22,0.014712644,1.0,27.17294253,85.74764368,24.58606322,0.919367816,1.77954023,133.2051724
47,2,23,0.0,1.0,26.97454023,86.82005747,24.60314943,0.88045977,1.68362069,130.1810345
48,3,0,0.004193548,1.0,27.06140323,88.24112903,24.95154301,0.734354839,1.403924731,139.7392473
49,3,1,0.000215054,1.0,26.84776344,89.28494624,24.9451828,0.657688172,1.26327957,136.0817204
50,3,2,0.0,1.0,26.6925914,89.86252688,24.90366129,0.632688172,1.211021505,137.9247312
51,3,3,0.0,1.0,26.56029032,90.42392473,24.8805,0.602150538,1.158924731,141.6994624
52,3,4,0.0,1.0,26.45861828,90.78946237,24.84751075,0.593763441,1.147096774,142.3586022
53,3,5,0.0,1.0,26.41125806,90.88430108,24.81880108,0.60344086,1.164892473,151.4096774
54,3,6,0.0,1.086666667,26.33775269,91.2677957,24.81520968,0.595322581,1.150913978,165.9822581
55,3,7,0.0,44.2,26.75145161,90.38080645,25.0603172,0.605322581,1.175537634,164.4655914
56,3,8,0.025806452,180.6716667,28.25965054,85.79817204,25.66396237,0.833978495,1.598010753,156.8150538
57,3,9,0.003333333,357.3816667,29.50314516,80.68591398,25.82521505,1.116989247,2.127956989,155.1817204
58,3,10,0.009032258,417.6883333,30.17306452,76.64037634,25.57437097,1.263548387,2.395268817,157.9564516
59,3,11,0.000860215,534.5233333,30.78012366,73.13747312,25.33552151,1.229677419,2.314731183,163.7564516
60,3,12,0.009677419,532.215,31.44417204,70.31989247,25.3055914,1.184462366,2.222258065,166.6387097
61,3,13,0.025913978,489.0033333,31.76681183,69.28198925,25.32436022,1.287043011,2.36655914,183.1129032
62,3,14,0.005268817,482.41,31.62760753,70.05166667,25.37473118,1.498978495,2.679354839,182.5247312
63,3,15,0.007204301,399.41,31.42096237,70.57107527,25.30804301,1.61827957,2.859462366,183.2284946
64,3,16,0.048709677,247.4933333,30.85070968,72.47215054,25.15723118,1.490860215,2.711935484,176.7236559
65,3,17,0.006774194,132.7216667,30.1415,75.01456989,25.03791935,1.351451613,2.436075269,171.6349462
66,3,18,0.002365591,39.21166667,29.50963978,76.72048387,24.85730645,1.115860215,2.063333333,156.238172
67,3,19,0.000860215,2.063333333,28.70172043,79.65956989,24.75032796,1.047849462,1.952903226,147.6741935
68,3,20,0.000430108,1.0,28.24374731,81.7272043,24.77093548,0.992849462,1.852849462,138.6962366
69,3,21,0.0,1.0,27.87808602,83.97591398,24.90159677,0.914247312,1.712903226,131.0301075
70,3,22,0.000107527,1.0,27.65154301,85.39494624,24.97882258,0.819086022,1.571129032,129.4827957
71,3,23,0.0,1.0,27.47669892,86.50166667,25.02817742,0.739354839,1.399086022,137.7360215
72,4,0,0.000111111,1.0,27.53830556,88.38288889,25.45106111,0.538666667,1.024388889,145.9561111
73,4,1,0.0,1.0,27.30886667,89.29872222,25.3999,0.394833333,0.7815,153.5816667
74,4,2,0.0,1.0,27.1164,89.84088889,25.31734444,0.421777778,0.838444444,149.6977778
75,4,3,0.0,1.0,26.99418889,90.29188889,25.28448333,0.430777778,0.841277778,159.1077778
76,4,4,0.006,1.0,26.7911,91.064,25.22932778,0.434555556,0.847111111,161.9733333
77,4,5,0.000555556,1.0,26.60028889,91.7525,25.16828333,0.353555556,0.712666667,156.0316667
78,4,6,0.0,1.081666667,26.53237778,92.24238889,25.19107222,0.340666667,0.678111111,157.3727778
79,4,7,0.0,42.64,27.12241667,90.72933333,25.48971667,0.447944444,0.877,159.6394444
80,4,8,0.010444444,177.4466667,28.73632778,85.52155556,26.05963889,0.655333333,1.252333333,166.0127778
81,4,9,0.009555556,271.68,29.89903889,80.74161111,26.20794444,0.917833333,1.731333333,168.6338889
82,4,10,0.007888889,373.4433333,30.61993333,76.84783333,26.04226667,1.111055556,2.054111111,178.4688889
83,4,11,0.000777778,478.96,31.22786111,73.929,25.94390556,1.159555556,2.138277778,188.1005556
84,4,12,0.001,505.3466667,31.70298333,71.66455556,25.86934444,1.294444444,2.331777778,195.7316667
85,4,13,0.029444444,519.92,31.41436111,72.42472222,25.7347,1.486388889,2.633666667,193.1594444
86,4,14,0.021111111,464.8033333,31.16667778,73.06177778,25.58407222,1.406888889,2.534222222,189.2127778
87,4,15,0.021444444,381.15,30.93195556,73.99083333,25.55309444,1.353166667,2.454277778,185.6094444
88,4,16,0.012222222,277.0683333,30.51855,74.63244444,25.30126111,1.3675,2.498,183.1461111
89,4,17,0.006444444,189.5633333,30.15180556,75.32372222,25.12436667,1.238388889,2.287888889,174.4616667
90,4,18,0.001111111,47.92333333,29.55111111,77.28533333,25.03620556,0.958611111,1.790388889,160.8938889
91,4,19,0.000222222,1.293333333,28.85289444,80.01827778,24.98908889,0.902055556,1.672611111,143.945
92,4,20,0.0,1.0,28.45676667,82.64855556,25.18514444,0.906888889,1.680611111,139.5538889
93,4,21,0.008777778,1.0,28.16254444,84.15155556,25.21836667,0.762166667,1.439277778,141.2016667
94,4,22,0.003555556,1.0,27.85494444,85.625,25.21057222,0.641833333,1.223333333,148.5305556
95,4,23,0.000222222,1.0,27.66489444,86.98805556,25.29648889,0.599833333,1.170333333,146.335
96,5,0,0.0,1.0,27.81947312,85.97037634,25.27973118,0.630107527,1.117258065,157.9107527
97,5,1,0.0,1.0,27.63650538,86.75462366,25.2538172,0.647741935,1.143064516,157.8295699
98,5,2,0.0,1.0,27.39792473,87.2377957,25.11,0.655591398,1.164301075,172.0543011
99,5,3,0.005268817,1.0,27.17804839,88.56854839,25.14856989,0.615806452,1.073387097,158.5532258
100,5,4,0.000645161,1.0,27.06593011,89.26715054,25.16952151,0.555698925,0.985215054,151.8774194
101,5,5,0.001075269,1.0,26.99394086,89.6633871,25.17401613,0.579462366,1.019247312,159.6983871
102,5,6,0.0,1.15617284,26.95817204,89.88849462,25.18148387,0.686129032,1.194892473,154.1139785
103,5,7,0.000967742,48.29938272,27.49234946,88.28134409,25.40033871,0.707311828,1.256397849,165.0188172
104,5,8,0.020752688,178.9666667,28.76058065,83.95569892,25.78558065,0.853494624,1.558978495,186.4580645
105,5,9,0.013655914,299.0962963,29.4566828,80.90086022,25.82794086,1.144784946,2.077903226,209.816129
106,5,10,0.027311828,478.3635802,30.07798387,77.72139785,25.72872043,1.388225806,2.457741935,211.3951613
107,5,11,0.002580645,567.4561728,30.65032258,75.25301075,25.72763978,1.458225806,2.635645161,215.0849462
108,5,12,0.013870968,600.4734568,30.89408065,73.52731183,25.52532258,1.487365591,2.678763441,222.3247312
109,5,13,0.000430108,573.2975309,30.86439785,72.95752688,25.35310753,1.615967742,2.91688172,231.8521505
110,5,14,0.021397849,473.2037037,30.4819086,73.72913978,25.13984946,1.639247312,2.979462366,228.4123656
111,5,15,0.000537634,374.1135802,30.51633871,73.67629032,25.17976344,1.516774194,2.691021505,225.2908602
112,5,16,0.0,281.1277778,30.39325806,75.01080645,25.37540323,1.32827957,2.403010753,217.7865591
113,5,17,0.0,146.2358025,29.89846237,76.72548387,25.30720968,1.274516129,2.282526882,202.8935484
114,5,18,0.0,44.39135802,29.2756129,78.4977957,25.11994086,1.083817204,1.922688172,191.3413978
115,5,19,0.0,1.422222222,28.63377957,81.16510753,25.08466667,0.861236559,1.526827957,188.3080645
116,5,20,0.000537634,1.0,28.30807527,83.42623656,25.24176344,0.813978495,1.451236559,189.8634409
117,5,21,0.000107527,1.0,28.09575269,84.38586022,25.22779032,0.77811828,1.369516129,181.8591398
118,5,22,0.0,1.0,27.97150538,85.23215054,25.27832258,0.723978495,1.276774194,173.0188172
119,5,23,0.0,1.0,27.84908602,86.12548387,25.33589785,0.72016129,1.249516129,168.2521505
120,6,0,0.0,1.0,27.50560556,87.31216667,25.22672222,0.833166667,1.471944444,180.4894444
121,6,1,0.0,1.0,27.38405556,88.06972222,25.2523,0.7995,1.391611111,177.6927778
122,6,2,0.0,1.0,27.29610556,88.46044444,25.23970556,0.772444444,1.363055556,172.5455556
123,6,3,0.0,1.0,27.22043333,88.28944444,25.13112222,0.773166667,1.397777778,180.2133333
124,6,4,0.0,1.0,27.13512222,88.50166667,25.08827778,0.777333333,1.394888889,177.575
125,6,5,0.000111111,1.0,27.07052778,89.09772222,25.13988889,0.762222222,1.368722222,178.2277778
126,6,6,0.000888889,1.035897436,27.02089444,89.29016667,25.12480556,0.753944444,1.351722222,177.02
127,6,7,0.0,37.08461538,27.35797222,88.26716667,25.25259444,0.826333333,1.488777778,175.98
128,6,8,0.001555556,152.1032051,28.59680556,84.19722222,25.65350556,1.004611111,1.826055556,185.0466667
129,6,9,0.004777778,271.2711538,29.14327778,81.54822222,25.62611111,1.170111111,2.191111111,202.135
130,6,10,0.001555556,393.8987179,29.45699444,80.06605556,25.59719444,1.345444444,2.516333333,212.9877778
131,6,11,0.009888889,471.7544872,29.90126111,78.01877778,25.56642778,1.424444444,2.648,214.8488889
132,6,12,0.000111111,560.5185897,30.48596667,75.09544444,25.46896111,1.526888889,2.8015,216.4233333
