,Month,Hour,"Solar Radiation, W/m^2, #15 - MD10 3rd rooftop","Temperature, *C, #15 - MD10 3rd rooftop","RH, %, #15 - MD10 3rd rooftop","Dew Point, *C, #15 - MD10 3rd rooftop","Wind Speed, m/s, #15 - MD10 3rd rooftop","Gust Speed, m/s, #15 - MD10 3rd rooftop","Wind Direction, *, #15 - MD10 3rd rooftop"
0,1,0,1.0,26.99265591,85.82666667,24.41396237,0.261827957,0.704516129,168.0446237
1,1,1,1.0,26.79571505,86.34956989,24.32078495,0.249569892,0.705591398,157.3505376
2,1,2,1.0,26.55287097,87.29860215,24.26601075,0.224623656,0.636397849,167.044086
3,1,3,1.0,26.40454301,88.07516129,24.26867204,0.245698925,0.655483871,163.8978495
4,1,4,1.0,26.25300538,88.81956989,24.26574731,0.222795699,0.601344086,164.0456989
5,1,5,1.0,26.16413441,89.29478495,24.27055914,0.189247312,0.546935484,164.8962366
6,1,6,1.008666667,26.10922043,89.56892473,24.2706828,0.196989247,0.566397849,159.8774194
7,1,7,12.63,26.24470968,89.41532258,24.37661828,0.189247312,0.544946237,155.1731183
8,1,8,89.088,27.16760215,86.59602151,24.74310215,0.309892473,0.803225806,164.0037634
9,1,9,243.988,28.65445699,80.64752688,25.00286559,0.536236559,1.285053763,184.6709677
10,1,10,372.8333333,29.96753763,74.38462366,24.89215054,0.587258065,1.44155914,186.2349462
11,1,11,494.9773333,31.12208065,69.56365591,24.85573118,0.628225806,1.475645161,187.6795699
12,1,12,512.4254011,31.81238537,66.55942774,24.74203299,0.670895754,1.533985785,189.8541644
13,1,13,445.3066667,32.02275269,65.43376344,24.59034946,0.615591398,1.435645161,183.9790323
14,1,14,274.0693446,31.76922216,65.75091307,24.40789621,0.66804538,1.483921997,189.520585
15,1,15,157.9393333,30.99434946,68.67650538,24.37794624,0.647419355,1.447096774,192.9897849
16,1,16,103.6973333,30.44782796,70.71080645,24.33311828,0.678064516,1.487150538,201.2994624
17,1,17,61.03466667,29.78992473,73.43930108,24.35858065,0.667419355,1.475860215,206.1413978
18,1,18,19.462,29.27639785,75.22817204,24.33497312,0.580268817,1.318333333,193.0677419
19,1,19,1.335333333,28.57805376,77.89263441,24.27684946,0.498548387,1.158602151,189.5569892
20,1,20,1.0,28.07269892,80.14908602,24.29079032,0.451290323,1.060698925,185.0193548
21,1,21,1.0,27.7455914,81.84854839,24.33669355,0.380430108,0.942634409,180.2215054
22,1,22,1.0,27.50915591,83.33607527,24.41315233,0.35,0.876989247,176.3467742
23,1,23,1.0,27.31993011,84.5188172,24.45255,0.303763441,0.788225806,171.1602151
24,2,0,1.0,27.28694253,84.82735632,24.51784483,0.326206897,0.804252874,179.9844828
25,2,1,1.0,27.08193678,85.78155172,24.50459195,0.286321839,0.749367816,172.5954023
26,2,2,1.0,26.89267241,86.93017241,24.54386207,0.248793103,0.668908046,173.2373563
27,2,3,1.0,26.67014943,87.94011494,24.52054023,0.212183908,0.57954023,163.9270115
28,2,4,1.0,26.51852874,88.73637931,24.52152874,0.240689655,0.632068966,165.6408046
29,2,5,1.0,26.37068966,89.23448276,24.46867816,0.23954023,0.635344828,168.5028736
30,2,6,1.079824561,26.26547126,89.42051724,24.39675287,0.235517241,0.618390805,168.7977011
31,2,7,16.62280702,26.40525862,89.03390805,24.45729885,0.279655172,0.716896552,166.533908
32,2,8,104.095614,27.31524138,86.47344828,24.86185632,0.41408046,0.992586207,181.9689655
33,2,9,260.627193,28.77401149,80.48896552,25.08425287,0.60183908,1.409022989,196.4166667
34,2,10,402.1754386,30.11370115,73.91149425,24.94243678,0.629712644,1.506321839,188.9775862
35,2,11,505.9877193,31.08564368,69.3312069,24.76475287,0.754022989,1.742758621,196.0678161
36,2,12,560.0026316,32.00614943,65.40442529,24.64015517,0.738850575,1.727413793,184.5712644
37,2,13,551.2842105,32.58285632,63.08637931,24.55824138,0.705287356,1.650229885,187.708046
