,Month,Hour,"Solar Radiation, W/m^2, #16 - Between Tahir and SICS","Temperature, *C, #16 - Between Tahir and SICS","RH, %, #16 - Between Tahir and SICS","Dew Point, *C, #16 - Between Tahir and SICS","Wind Speed, m/s, #16 - Between Tahir and SICS","Gust Speed, m/s, #16 - Between Tahir and SICS","Wind Direction, *, #16 - Between Tahir and SICS"
0,1,0,1.0,26.85931667,86.41811111,24.40349444,0.610166667,1.230388889,237.5166667
1,1,1,1.0,26.67733333,86.87733333,24.31164444,0.669,1.308666667,234.945
2,1,2,1.0,26.45205,87.80288889,24.26820556,0.602388889,1.202944444,240.4883333
3,1,3,1.0,26.30845556,88.56677778,24.27241667,0.516333333,1.056,240.225
4,1,4,1.0,26.17147778,89.276,24.27559444,0.478111111,1.008111111,238.8872222
5,1,5,1.0,26.09635556,89.67327778,24.27941111,0.475888889,0.987388889,231.6944444
6,1,6,1.004861111,26.04087222,89.92427778,24.27337778,0.483,0.995722222,240.9161111
7,1,7,8.481944444,26.16116667,89.75316667,24.36008333,0.471,0.966722222,240.0444444
8,1,8,44.43125,26.89532778,87.57755556,24.66921111,0.581944444,1.197277778,233.3672222
9,1,9,89.23611111,27.93783333,83.59794444,24.91257778,0.800833333,1.639166667,233.5188889
10,1,10,162.0159722,28.93731667,78.67111111,24.85045,0.924055556,1.838388889,225.4588889
11,1,11,402.04375,29.94630556,74.38366667,24.87155,0.953277778,1.903555556,223.8127778
12,1,12,434.4180556,30.57032222,71.38716667,24.75936176,0.964777778,1.886833333,217.7077778
13,1,13,362.6151961,30.75634052,70.15339869,24.58687356,0.886509804,1.764035948,214.2879412
14,1,14,288.5652174,30.84342529,69.69600855,24.50009195,0.880358974,1.742777778,210.4666667
15,1,15,228.2785024,30.53383333,71.26942048,24.48209898,0.882779956,1.739551924,216.9683908
16,1,16,102.1659091,30.027625,73.24305924,24.39941667,0.934575597,1.810402299,214.785119
17,1,17,46.71893939,29.52021429,75.1333908,24.37341071,0.880287356,1.740804598,226.222619
18,1,18,15.30075758,29.05364286,76.70275862,24.33064881,0.783735632,1.583908046,237.6559524
19,1,19,1.209848485,28.4086369,79.21436782,24.2847381,0.762011494,1.547011494,237.2482143
20,1,20,1.0,27.88671429,81.485,24.29817262,0.692816092,1.409367816,240.4041667
21,1,21,1.0,27.57141667,83.20672414,24.38928571,0.682241379,1.379827586,250.3988095
22,1,22,1.0,27.34192262,84.52666667,24.44145833,0.670804598,1.345574713,250.5547619
23,1,23,1.0,27.16297619,85.67206897,24.50944048,0.611609195,1.238333333,249.1029762
24,2,0,1.0,27.13971605,85.76845679,24.56802469,0.623950617,1.24617284,244.3055556
25,2,1,1.0,26.93664815,86.77271605,24.56347531,0.593950617,1.203271605,240.3759259
26,2,2,1.0,26.77867901,87.83555556,24.6128642,0.551111111,1.124814815,239.2358025
27,2,3,1.0,26.59392593,88.70537037,24.59683333,0.502469136,1.045308642,233.9154321
28,2,4,1.0,26.44280864,89.495,24.59508025,0.504074074,1.049320988,237.4888889
29,2,5,1.0,26.27967284,90.07919753,24.5419321,0.48654321,1.001111111,234.3944444
30,2,6,1.034615385,26.18474074,90.34808642,24.49449383,0.484074074,1.006790123,236.0759259
31,2,7,11.46153846,26.29559259,89.95240741,24.52620988,0.524197531,1.088518519,235.4222222
32,2,8,45.31282051,26.92811111,88.24716049,24.82909877,0.659135802,1.353765432,239.5777778
33,2,9,96.61666667,27.96757407,84.05166667,25.03237037,0.854444444,1.729506173,235.8117284
34,2,10,135.1615385,29.02802469,78.54469136,24.92411111,0.906851852,1.819938272,220.545679
35,2,11,269.7666667,29.93406173,74.1258642,24.8025679,1.012530864,2.032098765,225.0395062
36,2,12,388.5653846,30.75965432,70.51388889,24.74709877,1.012901235,2.026851852,216.0481481
37,2,13,449.7551282,31.32487654,67.97024691,24.65487037,0.985864198,2.011049383,216.4055556
38,2,14,334.3679487,31.29838889,67.31382716,24.42056173,1.022160494,2.03962963,218.9833333
39,2,15,224.75,30.96711728,68.04746914,24.28123457,1.037839506,2.097654321,220.8839506
40,2,16,171.6769231,30.69711728,68.76555556,24.19454938,1.022407407,2.076049383,227.5160494
41,2,17,48.06794872,29.99041358,71.06358025,24.09541975,0.958580247,1.945123457,233.7777778
42,2,18,14.99102564,29.32187654,74.28333333,24.2267037,0.899814815,1.831419753,240.6234568
43,2,19,1.320512821,28.58406173,77.6995679,24.28922222,0.801790123,1.635493827,245.6518519
44,2,20,1.0,28.05404321,80.29962963,24.34880864,0.723333333,1.467839506,235.6981481
45,2,21,1.0,27.7212381,82.55530844,24.47199729,0.678230519,1.386785714,238.8416667
46,2,22,1.0,27.3447716,84.16660714,24.47731548,0.65452381,1.346845238,237.8808642
47,2,23,1.0,27.15426543,85.21714286,24.49470833,0.60952381,1.240119048,242.6432099
48,3,0,1.0,27.32473889,86.37422222,24.8502,0.547222222,1.083333333,240.9
49,3,1,1.0,27.10509444,87.51466667,24.85917778,0.502111111,1.005444444,244.5994444
50,3,2,1.0,26.95035,88.073,24.81813333,0.464,0.946611111,236.4822222
51,3,3,1.0,26.81486667,88.69227778,24.80517778,0.419444444,0.877111111,236.33
52,3,4,1.0,26.71097778,89.04477778,24.77105,0.422222222,0.864888889,237.3994444
53,3,5,1.0,26.67128333,89.10916667,24.74432222,0.446888889,0.905,243.3244444
54,3,6,1.000925926,26.61690556,89.31861111,24.73117222,0.452111111,0.897333333,242.5216667
55,3,7,12.0962963,26.74575556,89.13022222,24.82375556,0.448444444,0.8985,231.4277778
56,3,8,47.48981481,27.49589444,87.17866667,25.18842778,0.620277778,1.237,233.3611111
57,3,9,100.1888889,28.51578889,82.78555556,25.30385,0.867277778,1.696388889,237.4488889
58,3,10,148.0648148,29.38086667,78.04727778,25.13058333,0.899,1.749555556,228.5038889
59,3,11,215.8861111,30.0638,74.52888889,24.98077778,0.862277778,1.6795,223.7305556
60,3,12,371.9157407,30.77469444,71.43727778,24.92981111,0.794722222,1.557611111,220.1072222
61,3,13,378.2175926,31.23406667,69.86194444,24.96382778,0.793388889,1.567833333,219.9633333
62,3,14,285.5615733,31.1792983,70.00878078,24.95002879,0.910650364,1.75048734,222.7079431
63,3,15,236.1324561,30.93339785,70.79489247,24.9047043,0.959892473,1.795483871,219.6510753
64,3,16,118.2201754,30.40008065,72.5705914,24.77452688,0.94655914,1.79516129,218.8435484
65,3,17,48.54561404,29.66237634,75.05392473,24.61916667,0.832204301,1.6,229.5349462
66,3,18,16.25789474,29.26802151,76.31833333,24.54687097,0.73188172,1.420376344,231.3516129
67,3,19,1.336842105,28.75143011,78.42069892,24.53661828,0.653010753,1.281989247,240.3182796
68,3,20,1.0,28.30936022,80.51860215,24.57987634,0.602311828,1.230591398,245.8575269
69,3,21,1.0,27.98292473,82.70376344,24.74555914,0.64655914,1.282849462,256.3629032
70,3,22,1.0,27.77687634,84.05978495,24.83436559,0.586236559,1.149946237,250.6473118
71,3,23,1.0,27.63219892,84.99897849,24.88642473,0.523870968,1.048333333,243.3467742
72,4,0,1.0,27.66173889,86.75111111,25.25528889,0.376777778,0.762611111,233.8711111
73,4,1,1.0,27.45007222,87.532,25.19946111,0.326111111,0.666388889,236.0005556
74,4,2,1.0,27.29087778,88.07183333,25.15065556,0.322777778,0.668222222,237.0116667
75,4,3,1.0,27.18406667,88.46305556,25.12476111,0.284,0.615777778,236.3605556
76,4,4,1.0,27.00868889,89.12394444,25.08006667,0.325333333,0.670222222,229.6672222
77,4,5,1.0,26.81622222,89.76494444,25.01049444,0.242333333,0.532333333,238.11
78,4,6,1.028205128,26.73770556,90.18422222,25.01284444,0.195,0.441666667,235.775
79,4,7,16.97051282,26.99910556,89.80105556,25.19845556,0.305222222,0.638722222,231.7922222
80,4,8,49.36153846,27.75428333,87.662,25.53001667,0.468666667,0.956888889,224.2166667
81,4,9,131.8403846,28.79721111,83.346,25.68423889,0.726277778,1.395055556,228.4261111
82,4,10,133.9108974,29.56170556,79.2415,25.55182778,0.778277778,1.506555556,212.4977778
83,4,11,275.1910256,30.24102778,75.86916667,25.43976111,0.791333333,1.510222222,206.95
84,4,12,427.0455128,30.88961111,72.995,25.40628889,0.836722222,1.575444444,208.8661111
85,4,13,261.5275641,30.84129444,72.91222222,25.31842222,0.921277778,1.728722222,213.2427778
86,4,14,147.3128205,30.51891111,73.59338889,25.11834444,0.9725,1.795666667,209.5522222
87,4,15,117.6147436,30.18036667,74.84916667,25.05793333,1.006,1.818277778,211.8416667
88,4,16,102.8602564,29.84635,75.45405556,24.86005556,0.953666667,1.737444444,214.3294444
89,4,17,40.76025641,29.46494444,76.382,24.71616667,0.867611111,1.587611111,216.765
