,Month,Hour,"Solar Radiation, W/m^2, #03 - Between E1& EW1 2 floor","Temperature, *C, #03 - Between E1& EW1 2 floor","RH, %, #03 - Between E1& EW1 2 floor","Dew Point, *C, #03 - Between E1& EW1 2 floor","Wind Speed, m/s, #03 - Between E1& EW1 2 floor","Gust Speed, m/s, #03 - Between E1& EW1 2 floor","Wind Direction, *, #03 - Between E1& EW1 2 floor"
0,1,0,1.0,27.21780108,86.94956989,24.85547312,0.153978495,0.425698925,128.3349462
1,1,1,1.0,26.99539247,87.60376344,24.76287634,0.167526882,0.458978495,130.877957
2,1,2,1.0,26.77427419,88.46655914,24.71212366,0.160430108,0.433064516,136.2564516
3,1,3,1.0,26.60371505,89.26844086,24.69569892,0.153870968,0.416505376,138.7817204
4,1,4,1.0,26.46970968,89.94204301,24.69406989,0.146129032,0.396774194,127.4586022
5,1,5,1.0,26.37887634,90.52075269,24.71644624,0.136451613,0.375376344,130.5016129
6,1,6,1.009090909,26.35161828,90.5366129,24.69114516,0.117741935,0.34,129.4741935
7,1,7,8.384090909,26.39133333,90.75526882,24.77248387,0.128709677,0.366666667,138.1473118
8,1,8,30.24090909,26.99034409,88.73091398,24.98283871,0.166989247,0.466129032,128.8677419
9,1,9,61.64772727,28.11272043,84.19543011,25.2025914,0.249032258,0.667849462,122.8193548
10,1,10,83.94242424,29.2772043,78.68784946,25.19294086,0.286344086,0.760913978,127.2494624
11,1,11,117.1931818,30.3737957,74.00586022,25.2093871,0.32827957,0.820322581,134.4166667
12,1,12,174.8780303,31.21117742,70.35973118,25.14994086,0.314731183,0.808494624,152.4580645
13,1,13,374.815404,31.87266846,67.93496416,25.11669534,0.326630824,0.848602151,166.3460573
14,1,14,406.6375541,32.33495392,66.37103687,25.10754916,0.328786482,0.854324117,171.5093702
15,1,15,373.25,32.2337491,67.35716846,25.22031362,0.328602151,0.839247312,182.2082437
16,1,16,245.9191558,31.674053,69.31189708,25.09893779,0.299907834,0.778026114,179.2434716
17,1,17,126.0969697,30.89191398,72.34139785,25.09943011,0.272580645,0.71327957,186.1456989
18,1,18,30.03787879,29.93068817,75.04666667,24.90699462,0.220537634,0.612580645,171.5827957
19,1,19,1.598484848,28.94499462,78.59639785,24.77658065,0.19172043,0.545483871,157.1010753
20,1,20,1.0,28.3851828,80.97602151,24.76579032,0.18688172,0.515591398,152.2607527
21,1,21,1.0,28.02419892,82.84456989,24.81136559,0.176021505,0.480322581,151.3392473
22,1,22,1.0,27.73947312,84.52650538,24.88083871,0.169139785,0.465376344,147.3155914
23,1,23,1.0,27.56701613,85.60903226,24.93013978,0.138817204,0.405806452,143.8532258
24,2,0,1.0,27.66564943,85.36028736,24.99744253,0.144367816,0.409310345,157.7270115
25,2,1,1.0,27.43296552,86.45695402,24.98386782,0.160344828,0.42862069,150.7396552
26,2,2,1.0,27.22849425,87.62528736,25.01110345,0.13954023,0.402528736,141.7994253
27,2,3,1.0,27.06763218,88.45448276,25.01221264,0.138045977,0.382183908,151.833908
28,2,4,1.0,26.88498276,89.26390805,24.98458046,0.145287356,0.402816092,140.5137931
29,2,5,1.0,26.68418391,89.91264368,24.90694828,0.14183908,0.385,146.4770115
30,2,6,1.073809524,26.54356322,90.33362069,24.84425862,0.135057471,0.384252874,139.116092
31,2,7,10.06666667,26.63387931,89.99833333,24.8675977,0.144137931,0.405287356,154.2511494
32,2,8,34.1297619,27.17004023,88.37936782,25.09108621,0.165057471,0.479885057,132.4103448
33,2,9,50.96309524,28.22101724,84.00051724,25.26740805,0.246666667,0.653908046,130.3965517
34,2,10,67.47857143,29.48766667,77.79689655,25.20462644,0.287241379,0.772586207,142.5954023
35,2,11,97.17738095,30.72904598,72.41172414,25.17942529,0.297471264,0.779655172,155.9781609
36,2,12,146.7869048,31.63434483,68.28235632,25.04485057,0.315632184,0.836034483,161.4954023
37,2,13,310.6642857,32.42050575,65.53649425,25.07042529,0.33908046,0.883908046,164.9850575
38,2,14,425.1214286,32.88522989,64.0337931,25.01793678,0.344712644,0.917873563,173.6051724
39,2,15,305.6619048,32.53977011,64.66908046,24.83381034,0.343333333,0.89637931,163.7614943
40,2,16,271.7642857,32.67808046,64.40477011,24.85155172,0.308735632,0.82,169.5534483
41,2,17,153.9869048,32.08471264,66.40333333,24.79698851,0.290229885,0.771551724,162.2252874
42,2,18,37.74642857,30.58559195,71.60091954,24.74087356,0.235287356,0.660517241,162.2534483
43,2,19,1.808333333,29.40460345,76.37448276,24.75745977,0.216896552,0.595747126,155.4396552
44,2,20,1.0,28.69591954,79.57844828,24.7978908,0.237701149,0.607241379,141.0017241
45,2,21,1.0,28.23112069,82.19701149,24.90950575,0.224827586,0.574482759,139.1666667
46,2,22,1.0,27.85687931,84.13936782,24.93774713,0.208850575,0.548850575,130.7758621
47,2,23,1.0,27.61489655,85.3604023,24.94596552,0.202528736,0.525172414,125.6321839
48,3,0,1.0,27.62565591,87.14252688,25.29164516,0.188817204,0.450591398,160.4129032
49,3,1,1.0,27.45955914,87.87602151,25.27562903,0.147204301,0.369032258,170.1413978
50,3,2,1.0,27.27062903,88.75365591,25.2604086,0.155483871,0.383978495,151.2016129
51,3,3,1.0,27.14654301,89.36564516,25.25729032,0.150645161,0.372258065,155.5123656
52,3,4,1.0,27.01649462,89.74360215,25.20112903,0.139677419,0.346129032,170.6935484
53,3,5,1.0,26.97602151,89.85451613,25.18080108,0.135806452,0.349301075,164.894086
54,3,6,1.000757576,26.89300538,90.1438172,25.15500538,0.136451613,0.352526882,179.7139785
55,3,7,9.278787879,26.94110215,90.16666667,25.20573118,0.129032258,0.33844086,181.111828
56,3,8,31.49848485,27.51332796,88.39930108,25.43358065,0.147096774,0.413010753,133.5446237
57,3,9,51.2469697,28.56353226,83.91311828,25.57371505,0.215268817,0.598924731,131.8763441
58,3,10,68.1,29.70853226,78.12693548,25.46201613,0.267903226,0.720967742,146.9688172
59,3,11,104.1818182,30.75715054,73.16521505,25.3362043,0.268924731,0.702688172,152.8102151
60,3,12,132.0401515,31.60344086,69.66344086,25.31553226,0.266129032,0.693548387,166.1188172
61,3,13,247.1007576,32.30953763,67.45521505,25.40430108,0.276451613,0.71827957,178.061828
62,3,14,346.444697,32.90844086,66.00586022,25.58269892,0.317526882,0.811236559,199.6709677
63,3,15,271.0598485,32.68165591,66.79397849,25.5452043,0.31827957,0.819731183,199.1419355
64,3,16,194.1454545,32.07412366,69.12236559,25.47772043,0.328602151,0.821397849,186.655914
65,3,17,113.6106061,31.41572581,71.18413978,25.31878495,0.260752688,0.682795699,188.5951613
66,3,18,26.44166667,30.34137097,74.36725806,25.12198387,0.205376344,0.546774194,184.8989247
