,Month,Hour,"Solar Radiation, W/m^2, #04 - Between E4 & E4A","Temperature, *C, #04 - Between E4 & E4A","RH, %, #04 - Between E4 & E4A","Dew Point, *C, #04 - Between E4 & E4A","Wind Speed, m/s, #04 - Between E4 & E4A","Gust Speed, m/s, #04 - Between E4 & E4A","Wind Direction, *, #04 - Between E4 & E4A"
0,1,0,1.020430108,26.75398925,87.65424731,24.53618817,0.655537634,1.227473118,154.5424731
1,1,1,1.021505376,26.58629032,88.16424731,24.46622581,0.587204301,1.131397849,155.7462366
2,1,2,1.025806452,26.37173118,89.04849462,24.42221505,0.591397849,1.135967742,159.0134409
3,1,3,1.025268817,26.23857527,89.74376344,24.42149462,0.545806452,1.048655914,153.0225806
4,1,4,1.022580645,26.11598925,90.33032258,24.41408065,0.513978495,1.004731183,159.0365591
5,1,5,1.02311828,26.03697849,90.74274194,24.41656452,0.477419355,0.945,155.7532258
6,1,6,1.066129032,25.96869355,91.00306452,24.39774731,0.50172043,0.956505376,157.916129
7,1,7,6.334408602,26.0166129,91.10247312,24.46553226,0.439193548,0.87311828,157.7919355
8,1,8,35.05806452,26.67320968,88.90139785,24.70075806,0.578172043,1.140860215,155.027957
9,1,9,198.5978495,27.938,83.95639785,24.98039247,0.785537634,1.572258065,158.4607527
10,1,10,336.1172043,29.09681183,78.47419355,24.96243011,0.789247312,1.629784946,155.6134409
11,1,11,381.2731183,30.11060753,74.1194086,24.9721828,0.656290323,1.408655914,148.4784946
12,1,12,203.5241935,30.50834946,71.75645161,24.79836559,0.707150538,1.455913978,146.4935484
13,1,13,178.2839878,30.67616947,70.65249649,24.65046517,0.66959093,1.379836372,147.6449509
14,1,14,170.3406568,30.8002431,70.00555071,24.58195466,0.670276083,1.372330718,142.9171462
15,1,15,102.9895979,30.43502501,71.56173212,24.58286209,0.686341748,1.388125292,145.8021973
16,1,16,46.91695728,29.80371026,74.09153153,24.51678684,0.64548823,1.316368788,134.6522377
17,1,17,23.98172043,29.20135484,76.70677419,24.54089247,0.662634409,1.368010753,132.4569892
18,1,18,8.78655914,28.76505914,78.10489247,24.47667742,0.768225806,1.518655914,145.0537634
19,1,19,1.183870968,28.14496774,80.59768817,24.43119892,0.782795699,1.528548387,153.6236559
20,1,20,1.038172043,27.70006989,82.56548387,24.43073118,0.746344086,1.439731183,161.0844086
21,1,21,1.026344086,27.41034409,84.14596774,24.47733333,0.710860215,1.375591398,162.5026882
22,1,22,1.024731183,27.20165054,85.60043011,24.56787634,0.696021505,1.339408602,163.9752688
23,1,23,1.022043011,27.02567742,86.60241935,24.57375,0.686129032,1.304139785,164.0284946
24,2,0,1.021264368,27.05391379,86.78017241,24.67199425,0.657931034,1.253333333,161.4218391
25,2,1,1.022988506,26.86105747,87.74902299,24.66889655,0.597758621,1.151551724,157.4913793
26,2,2,1.027011494,26.68254598,88.77281609,24.68875287,0.546896552,1.064195402,158.5097701
27,2,3,1.025287356,26.52752874,89.55522989,24.6852069,0.548735632,1.05637931,160.3867816
28,2,4,1.02816092,26.38029885,90.30936782,24.67962644,0.559655172,1.078218391,162.1482759
29,2,5,1.017816092,26.23441379,90.73264368,24.61208621,0.502183908,0.985977011,158.262069
30,2,6,1.082758621,26.1025977,91.06689655,24.54248851,0.514367816,1.000977011,157.091954
31,2,7,6.764367816,26.17302874,90.75793103,24.55179885,0.532471264,1.03683908,155.7591954
32,2,8,52.68103448,26.79464368,88.97827586,24.83214368,0.680804598,1.330574713,159.2591954
33,2,9,201.6178161,28.01373563,84.09017241,25.08032759,0.812873563,1.642356322,155.5649425
34,2,10,355.0568966,29.30037931,77.73701149,25.00466092,0.874137931,1.762758621,155.4902299
35,2,11,431.9195402,30.30043678,73.08586207,24.90922989,0.85454023,1.745977011,152.4477011
36,2,12,357.3873563,30.94262069,69.70367816,24.71668966,0.871206897,1.784137931,145.5994253
37,2,13,219.1356322,31.28175862,68.0987931,24.64156322,0.868045977,1.759195402,149.1908046
38,2,14,169.5672414,31.0610977,68.38747126,24.43768391,0.94683908,1.881724138,147.4741379
39,2,15,96.98333333,30.53307471,69.71747126,24.24757471,0.949137931,1.920632184,154.4902299
40,2,16,48.60574713,30.09983908,70.98666667,24.13448276,1.060344828,2.062298851,151.5931034
41,2,17,21.56494253,29.59978736,72.86609195,24.10678161,1.027356322,1.991494253,151.2402299
42,2,18,8.231034483,29.04798851,75.9183908,24.30079885,0.998390805,1.967126437,157.3367816
43,2,19,1.314942529,28.40358046,79.1362069,24.40401724,0.888908046,1.716034483,164.4097701
44,2,20,1.025862069,27.92221264,81.64798851,24.4851092,0.844310345,1.630172414,164.345977
45,2,21,1.031609195,27.5083908,84.09155172,24.58744253,0.803218391,1.569367816,169.9712644
46,2,22,1.01954023,27.1943908,85.92517241,24.63981034,0.768275862,1.459482759,169.7706897
47,2,23,1.017241379,27.02922989,86.79235632,24.64950575,0.719597701,1.388275862,167.7712644
48,3,0,1.020833333,27.19366129,87.96129032,25.02787097,0.574784946,1.08483871,162.8548387
49,3,1,1.021428571,26.9977957,88.82112903,25.00476344,0.55344086,1.015913978,160.4908602
50,3,2,1.030357143,26.83022043,89.55231183,24.98,0.508172043,0.95327957,152.9655914
51,3,3,1.023809524,26.71,90.17951613,24.98169892,0.484731183,0.915645161,147.3677419
52,3,4,1.019642857,26.6200914,90.49392473,24.95294624,0.516021505,0.936129032,150.4908602
53,3,5,1.02797619,26.57337634,90.5777957,24.92380108,0.495053763,0.913763441,158.3827957
54,3,6,1.064880952,26.49966667,90.78317204,24.88966129,0.442150538,0.820268817,147.4903226
55,3,7,7.376190476,26.54314516,90.64408602,24.90626882,0.450107527,0.82188172,147.372043
56,3,8,33.50654762,27.15330645,88.78516129,25.1572957,0.580537634,1.092043011,155.7462366
57,3,9,162.1386905,28.42774731,83.56048387,25.37248387,0.704408602,1.375268817,151.811828
58,3,10,365.3029762,29.59943548,77.71252688,25.26325806,0.790215054,1.541774194,157.1139785
59,3,11,426.8952381,30.44043548,73.67016129,25.13083333,0.697634409,1.417150538,154.2064516
60,3,12,386.2702381,30.98436022,71.02811828,25.01663978,0.659354839,1.31155914,143.1725806
61,3,13,287.8267857,31.28056452,69.70682796,24.97608065,0.618172043,1.228870968,132.9241935
62,3,14,227.889881,31.30605376,69.96091398,25.05974731,0.60827957,1.250645161,129.588172
63,3,15,96.5827381,30.85027957,71.46456989,24.98554839,0.596774194,1.20188172,136.716129
64,3,16,44.51964286,30.15616129,73.93053763,24.86803763,0.611397849,1.236075269,126.1032258
65,3,17,24.5797619,29.57856452,76.00731183,24.76090323,0.636236559,1.246182796,131.4505376
