,Month,Hour,"Solar Radiation, W/m^2, #08 - Between AS1 & AS3","Temperature, *C, #08 - Between AS1 & AS3","RH, %, #08 - Between AS1 & AS3","Dew Point, *C, #08 - Between AS1 & AS3","Wind Speed, m/s, #08 - Between AS1 & AS3","Gust Speed, m/s, #08 - Between AS1 & AS3","Wind Direction, *, #08 - Between AS1 & AS3"
0,1,0,1.0,26.6482043,88.66349462,24.62477957,0.40327957,0.896774194,233.1505376
1,1,1,1.0,26.41557527,89.40241935,24.5346129,0.353494624,0.814247312,228.0994624
2,1,2,1.0,26.19389247,90.3322043,24.49052688,0.363225806,0.813655914,231.1134409
3,1,3,1.0,26.05276344,91.01784946,24.47843548,0.367419355,0.797258065,232.4956989
4,1,4,1.0,25.9209086,91.68973118,24.4747957,0.352365591,0.77311828,233.2543011
5,1,5,1.0,25.84223118,92.25413978,24.50304301,0.332795699,0.735483871,236.2811828
6,1,6,1.025,25.79392473,92.36467742,24.47305914,0.326021505,0.721666667,240.9048387
7,1,7,14.71416667,25.88313441,92.38607527,24.56588172,0.32311828,0.70155914,236.0446237
8,1,8,67.48916667,26.71103763,89.96258065,24.93351613,0.428817204,0.932473118,225.2946237
9,1,9,167.475,28.11467742,84.44005376,25.24446237,0.628924731,1.30983871,227.5139785
10,1,10,426.53,29.63370968,77.90650538,25.35628495,0.695752688,1.449731183,225.1817204
11,1,11,516.7458333,30.82515054,72.86763441,25.36658602,0.751935484,1.538548387,227.0096774
12,1,12,525.5333908,31.3497195,69.97058398,25.16855395,0.819931405,1.64000927,218.5991472
13,1,13,516.8458333,31.50700538,68.95532258,25.00936022,0.867741935,1.70155914,205.9204301
14,1,14,453.5750862,31.54684205,68.57804783,24.92137597,0.905897293,1.744575454,200.4465703
15,1,15,319.9708333,31.02674731,70.70225806,24.89810753,0.871236559,1.674892473,208.3311828
16,1,16,198.18,30.5383172,72.35516129,24.79037634,0.854623656,1.643494624,203.1241935
17,1,17,98.485,29.76486022,75.64333333,24.80761828,0.777365591,1.496397849,183.4516129
18,1,18,32.87583333,29.06905376,77.63763441,24.65150538,0.662258065,1.332150538,196.0817204
19,1,19,1.689166667,28.18793548,80.80774194,24.5119086,0.586236559,1.231290323,207.2725806
20,1,20,1.0,27.67234946,83.15327957,24.51660753,0.526236559,1.102688172,215.9688172
21,1,21,1.0,27.3383871,84.9761828,24.56963978,0.467204301,1.005107527,214.9569892
22,1,22,1.0,27.08472043,86.60688172,24.64998925,0.439032258,0.954677419,220.5790323
23,1,23,1.0,26.90625269,87.7122043,24.69632796,0.415483871,0.900430108,219.9774194
24,2,0,1.0,26.9415,87.73528736,24.74802874,0.419195402,0.903505747,214.2057471
25,2,1,1.0,26.7380977,88.77701149,24.74657471,0.393563218,0.856781609,221.0994253
26,2,2,1.0,26.53702299,89.99109195,24.77993103,0.365747126,0.808908046,221.6114943
27,2,3,1.0,26.3527069,90.85235632,24.75897126,0.338850575,0.755287356,223.2017241
28,2,4,1.0,26.21907471,91.51591954,24.74781034,0.357241379,0.775229885,230.7528736
29,2,5,1.0,26.04883333,92.13655172,24.69045977,0.328275862,0.722183908,224.3522989
30,2,6,1.178787879,25.93308621,92.36505747,24.61441379,0.354827586,0.752586207,226.2522989
31,2,7,19.61363636,26.05901724,91.98913793,24.66568966,0.385057471,0.806264368,224.5885057
32,2,8,77.20454545,26.82133333,89.9691954,25.04025862,0.484712644,1.030977011,225.166092
33,2,9,229.5333333,28.27270115,84.28178161,25.36697126,0.672816092,1.387241379,217.7833333
34,2,10,463.0242424,29.93258046,76.78465517,25.40667816,0.797298851,1.623333333,220.7270115
35,2,11,572.1469697,31.03017241,71.76132184,25.30027011,0.830632184,1.689482759,215.0655172
36,2,12,613.6242424,31.6792069,68.35316092,25.09063793,0.894655172,1.794252874,221.6195402
37,2,13,622.1727273,32.15218391,66.33063218,25.01072414,0.954310345,1.897873563,212.9224138
38,2,14,473.4560606,31.90105747,66.67178161,24.77583908,1.036551724,1.997011494,206.0551724
39,2,15,284.1060606,31.37402299,68.04850575,24.59156897,0.934482759,1.869827586,219.3649425
40,2,16,160.6318182,31.1402931,68.65718391,24.5020977,0.845172414,1.755344828,205.9695402
41,2,17,88.2469697,30.46283333,71.02781609,24.44872414,0.765977011,1.577643678,205.1867816
42,2,18,23.87575758,29.38154598,75.35936782,24.47715517,0.698045977,1.461724138,206.9045977
43,2,19,1.559090909,28.4597069,79.42201149,24.50977011,0.588850575,1.251666667,205.0206897
44,2,20,1.0,27.87240805,82.33862069,24.57334483,0.542298851,1.175574713,212.7948276
45,2,21,1.0,27.46529885,84.68172414,24.66032759,0.504367816,1.106149425,219.5534483
46,2,22,1.0,27.12003448,86.54971264,24.68776437,0.461954023,1.016034483,225.3356322
47,2,23,1.0,26.92898276,87.60706897,24.70822414,0.429885057,0.940402299,226.108046
48,3,0,1.0,26.97635484,89.19290323,25.04579032,0.284301075,0.650860215,204.3467742
49,3,1,1.0,26.77769355,90.24672043,25.05301075,0.27311828,0.607849462,200.1478495
50,3,2,1.0,26.61821505,90.8588172,25.01248925,0.255268817,0.575967742,207.7897849
51,3,3,1.0,26.49208065,91.46451613,25.00289785,0.254623656,0.570430108,210.5306452
52,3,4,1.0,26.38406989,91.90021505,24.97772581,0.230322581,0.517311828,207.5811828
53,3,5,1.0,26.34480645,91.99537634,24.95613978,0.260215054,0.57311828,210.3908602
54,3,6,1.006666667,26.28877957,92.16822581,24.93295161,0.266021505,0.576075269,212.7693548
55,3,7,16.98111111,26.33949462,92.08435484,24.96662366,0.26344086,0.57,221.7586022
56,3,8,71.29989899,27.18015103,89.92254669,25.39384311,0.416403509,0.867914544,217.409042
57,3,9,256.5357143,28.97075556,83.06715054,25.84101111,0.575107527,1.203333333,206.1161111
58,3,10,391.5833333,30.18091667,76.94908602,25.68913333,0.717903226,1.454193548,215.1822222
59,3,11,483.4666667,31.07280556,72.83413978,25.56037222,0.650268817,1.338924731,201.2655556
60,3,12,480.2702381,31.57506111,70.33204301,25.40014444,0.641989247,1.300645161,190.7772222
61,3,13,465.077381,31.96868889,68.86693548,25.4091,0.767365591,1.468172043,183.5516667
62,3,14,401.4595238,31.94668889,68.86053763,25.38213889,0.933655914,1.688655914,168.7111111
63,3,15,294.8369048,31.43277222,70.34903226,25.25135556,0.917903226,1.673172043,160.5711111
64,3,16,174.6583333,30.75906111,72.64978495,25.10750556,0.892795699,1.63188172,169.8166667
65,3,17,85.47738095,29.99286667,75.12854839,24.92615,0.762150538,1.405376344,166.9077778
66,3,18,29.95119048,29.33612778,77.48801075,24.85478333,0.525053763,1.057634409,170.7955556
67,3,19,1.797619048,28.61721667,80.20494624,24.7895,0.422096774,0.915913978,172.2222222
68,3,20,1.0,28.14291111,82.5622043,24.85716111,0.359139785,0.814892473,185.0766667
69,3,21,1.0,27.76695556,84.7677957,24.97191667,0.341505376,0.768709677,192.6116667
70,3,22,1.0,27.47826667,86.53284946,25.0544,0.300860215,0.684032258,190.7133333
71,3,23,1.0,27.29627222,87.78435484,25.13143333,0.255591398,0.602580645,205.285
72,4,0,1.0,27.40502222,89.71711111,25.56930556,0.198333333,0.431277778,180.05
73,4,1,1.0,27.24490556,90.32938889,25.52801667,0.228666667,0.482666667,189.9255556
74,4,2,1.0,27.08183889,90.78505556,25.45745556,0.206111111,0.450944444,190.2438889
75,4,3,1.0,26.95094444,91.37355556,25.44129444,0.205111111,0.450722222,194.6783333
76,4,4,1.0,26.81150556,91.96383333,25.41471111,0.180222222,0.407055556,194.0127778
77,4,5,1.0,26.65147778,92.54605556,25.36213889,0.189666667,0.405444444,201.17
78,4,6,1.06984127,26.59107778,92.90905556,25.36956111,0.178333333,0.389333333,201.0794444
79,4,7,18.97936508,26.66773333,92.69494444,25.40676111,0.221666667,0.468722222,202.045
