,Month,Hour,"Solar Radiation, W/m^2, #09 - i4 Rooftop","Temperature, *C, #09 - i4 Rooftop","RH, %, #09 - i4 Rooftop","Dew Point, *C, #09 - i4 Rooftop","Wind Speed, m/s, #09 - i4 Rooftop","Gust Speed, m/s, #09 - i4 Rooftop","Wind Direction, *, #09 - i4 Rooftop"
0,1,0,1.0,26.27558065,90.28360215,24.5543172,0.175376344,0.512043011,187.522043
1,1,1,1.0,25.92327957,91.36155914,24.40766667,0.150967742,0.455591398,207.9134409
2,1,2,1.0,25.65512903,92.54064516,24.35901613,0.136451613,0.417043011,209.0602151
3,1,3,1.0,25.51304839,93.29462366,24.35372043,0.144946237,0.430645161,205.4516129
4,1,4,1.0,25.34236559,94.10752688,24.33239247,0.141505376,0.417903226,211.9021505
5,1,5,1.0,25.20073656,94.78758065,24.31509677,0.121182796,0.365053763,216.4908602
6,1,6,1.105128205,25.10643548,95.18967742,24.29090323,0.128602151,0.36811828,209.6139785
7,1,7,25.44487179,25.24312903,95.36021505,24.45401613,0.150645161,0.411344086,209.6188172
8,1,8,128.6807692,26.64963441,91.68064516,25.18239785,0.217688172,0.601021505,200.5634409
9,1,9,311.5589744,28.72571505,83.8061828,25.7116828,0.36155914,0.946182796,192.372043
10,1,10,502.2820513,30.40830108,76.41150538,25.76569892,0.402043011,1.054247312,193.8010753
11,1,11,576.6076923,31.76524194,71.06978495,25.82716667,0.419301075,1.086827957,181.0064516
12,1,12,636.7807692,32.45762168,67.84202037,25.67213016,0.467430673,1.210797963,175.0341822
13,1,13,610.5794872,32.70024194,66.68064516,25.51876344,0.450053763,1.167849462,164.8150538
14,1,14,486.9769231,32.69664148,66.19239672,25.36594312,0.461018676,1.200786644,167.7747878
15,1,15,363.9846154,31.936,69.02075269,25.29043548,0.476827957,1.187634409,172.95
16,1,16,218.9461538,30.93603763,71.90672043,25.0324086,0.490430108,1.226182796,169.6989247
17,1,17,72.70769231,29.89346774,75.88505376,24.97015054,0.473817204,1.173655914,174.6510753
18,1,18,28.35,29.14754301,78.0811828,24.80526882,0.411397849,1.044086022,174.8978495
19,1,19,1.629487179,28.20984946,81.38860215,24.63333871,0.372473118,0.94327957,172.3849462
20,1,20,1.0,27.60231183,83.93473118,24.58880108,0.336021505,0.860537634,172.9650538
21,1,21,1.0,27.16595699,86.14397849,24.61648925,0.263763441,0.709193548,170.7795699
22,1,22,1.0,26.84672581,87.84489247,24.64617204,0.212258065,0.596989247,180.1134409
23,1,23,1.0,26.57024731,89.40876344,24.68099609,0.191935484,0.543817204,186.2967742
24,2,0,1.0,26.62331034,89.20856322,24.71036782,0.197701149,0.556436782,190.4057471
25,2,1,1.0,26.3257069,90.61873563,24.68074138,0.181724138,0.512356322,193.0632184
26,2,2,1.0,26.12428161,91.82201149,24.70460345,0.142413793,0.43816092,196.9787356
27,2,3,1.0,25.85027586,93.11517241,24.66904598,0.150804598,0.431091954,208.4752874
28,2,4,1.0,25.69462069,93.82505747,24.64014943,0.153793103,0.442758621,210.691954
29,2,5,1.0,25.47172989,94.58321839,24.55303448,0.153390805,0.432011494,210.2936782
30,2,6,1.387037037,25.3123908,95.01281609,24.46814368,0.155747126,0.423908046,213.233908
31,2,7,29.06666667,25.53313218,94.55626437,24.59941954,0.203563218,0.540114943,199.2114943
32,2,8,128.1185185,26.68595977,91.44551724,25.17691954,0.295057471,0.759425287,195.4643678
33,2,9,290.4,28.6038908,84.28867816,25.68926437,0.390172414,1.014597701,180.1770115
34,2,10,557.5740741,30.47982759,76.10724138,25.78164368,0.427011494,1.113678161,179.8402299
35,2,11,661.962963,31.75032184,70.55465517,25.68848851,0.458965517,1.190344828,177.1505747
36,2,12,706.2685185,32.71089655,66.31436782,25.54259195,0.49862069,1.292011494,170.5678161
37,2,13,717.6666667,33.36548276,63.8945977,25.49548276,0.477873563,1.264655172,164.9413793
38,2,14,533.7018519,33.11486207,64.24402299,25.24466092,0.547816092,1.395229885,154.5367816
39,2,15,375.5185185,32.50693103,65.76511494,25.03451724,0.462701149,1.25183908,165.1293103
40,2,16,263.8240741,31.70674713,67.51494253,24.74486207,0.445574713,1.182758621,172.0074713
41,2,17,79.82592593,30.66935057,70.87189655,24.61721264,0.461666667,1.197011494,157.2304598
42,2,18,27.60740741,29.71734483,74.89597701,24.68301149,0.407298851,1.060689655,162.7275862
43,2,19,1.457407407,28.60854598,79.27390805,24.61155172,0.368850575,0.940344828,166.4252874
44,2,20,1.0,27.90993678,82.73649425,24.6811092,0.319942529,0.838045977,185.9017241
45,2,21,1.0,27.3972069,85.36247126,24.71891954,0.275172414,0.745632184,183.6258621
46,2,22,1.0,26.94795977,87.52212644,24.69766092,0.251149425,0.674022989,187.4258621
47,2,23,1.0,26.67029885,88.92321839,24.69605172,0.246436782,0.669310345,187.391954
48,3,0,1.0,26.50548925,91.05591398,24.92340323,0.175053763,0.474354839,205.8225806
49,3,1,1.0,26.21335484,92.49521505,24.90357527,0.172688172,0.447043011,210.7849462
50,3,2,1.0,26.02272043,93.32172043,24.86866129,0.174731183,0.438225806,224.0456989
51,3,3,1.0,25.82841935,94.24091398,24.84338172,0.158064516,0.398817204,227.5209677
52,3,4,1.0,25.71754839,94.74446237,24.82544086,0.155806452,0.402580645,222.9666667
53,3,5,1.0,25.57186559,95.17795699,24.76042473,0.134193548,0.365913978,230.0983871
54,3,6,1.04,25.51110753,95.38327957,24.73700538,0.141290323,0.374462366,236.4198925
55,3,7,26.095,25.61609677,95.49096774,24.85841398,0.147311828,0.39172043,240.7177419
56,3,8,103.69,26.84101613,92.4522043,25.51978495,0.232043011,0.623494624,204.0607527
57,3,9,277.39,29.03884946,84.08806452,26.06325806,0.349892473,0.912258065,185.4892473
58,3,10,409.945,30.57416667,76.89397849,26.00376882,0.433763441,1.110645161,180.3134409
59,3,11,491.2083333,31.61513978,72.1061828,25.86072043,0.428225806,1.080322581,177.4112903
60,3,12,449.1016667,32.28043548,69.32075269,25.78694086,0.436182796,1.095268817,178.0483871
61,3,13,482.3633333,32.82336559,67.64908602,25.87065054,0.458548387,1.134408602,169.8844086
62,3,14,449.1816667,32.82001613,67.53962366,25.8323172,0.549677419,1.323172043,155.4392473
63,3,15,325.6733333,32.14796237,69.30473118,25.62668817,0.552634409,1.307634409,157.1215054
64,3,16,162.8283333,31.16541935,72.16596774,25.36130108,0.515698925,1.250322581,162.6241935
65,3,17,79.96833333,30.19732796,75.26306452,25.14371505,0.482634409,1.143548387,167.7403226
66,3,18,31.51833333,29.55807527,77.42080645,25.0418172,0.343870968,0.865806452,182.1204301
67,3,19,1.825,28.68127419,80.37075269,24.87116129,0.318709677,0.787956989,181.4575269
