Month,Hour,"Solar Radiation, W/m^2, #17 - Science drive 2","Temperature, *C, #17 - Science drive 2","RH, %, #17 - Science drive 2","Dew Point, *C, #17 - Science drive 2","Wind Speed, m/s, #17 - Science drive 2","Gust Speed, m/s, #17 - Science drive 2","Wind Direction, *, #17 - Science drive 2"
1,0,1.0,27.09203763,84.18155914,24.19033333,0.290752688,0.672258065,167.0688172
1,1,1.0,26.87401613,84.83344086,24.10569355,0.314301075,0.692580645,168.9263441
1,2,1.0,26.65632796,85.63612903,24.05182796,0.25311828,0.602150538,164.8752688
1,3,1.0,26.51595161,86.4355914,24.07237097,0.247956989,0.575752688,180.4591398
1,4,1.0,26.37781183,87.14575269,24.07550538,0.226236559,0.543494624,184.6408602
1,5,1.0,26.27761828,87.72747312,24.0925914,0.231935484,0.554516129,184.1403226
1,6,1.0,26.2600914,87.84946237,24.10198387,0.219354839,0.528655914,178.2134409
1,7,3.659677419,26.36380645,87.67946237,24.17186559,0.204408602,0.505537634,178.4010753
1,8,17.15215054,27.17427957,85.35645161,24.51605914,0.30344086,0.725860215,176.2177419
1,9,35.29784946,28.33491935,80.875,24.74645161,0.486827957,1.092956989,171.5962366
1,10,49.06666667,29.35048387,75.86854839,24.65114516,0.550913978,1.227258065,176.9494624
1,11,87.80913978,30.32430645,71.68322581,24.62643011,0.592956989,1.268763441,181.25
1,12,127.427957,31.08363978,68.3894086,24.5352043,0.605107527,1.265,179.7333333
1,13,134.4360215,31.3490914,66.99370968,24.38436559,0.61516129,1.284731183,184.4064516
1,14,164.5827957,31.49437097,66.16967742,24.27967204,0.60311828,1.253064516,183.3365591
1,15,142.5467742,31.13424194,67.79403226,24.30099462,0.576989247,1.192096774,195.2736559
1,16,109.3908602,30.70432796,69.48612903,24.26655914,0.556397849,1.168602151,200.7930108
1,17,61.77473118,30.06448387,72.12295699,24.28150538,0.444408602,0.98155914,192.0258065
1,18,15.70215054,29.43064516,73.99817204,24.18634946,0.39516129,0.928494624,179.1193548
1,19,1.220967742,28.66565054,76.61983871,24.07620968,0.417365591,0.95811828,169.2317204
1,20,1.0,28.1108172,78.90274194,24.05862903,0.362795699,0.821129032,174.6806452
1,21,1.0,27.7553172,80.66317204,24.10290323,0.316989247,0.748655914,162.6946237
1,22,1.0,27.53042473,82.03827957,24.17603226,0.28516129,0.673494624,167.1150538
1,23,1.0,27.35472043,83.11188172,24.23056989,0.274516129,0.646182796,165.4516129
2,0,1.0,27.37132759,83.19528736,24.27949425,0.284022989,0.653218391,171.0971264
2,1,1.0,27.16677586,84.20356322,24.28067241,0.309885057,0.691091954,167.6488506
2,2,1.0,26.99865517,85.19597701,24.31398276,0.24816092,0.585517241,175.7448276
2,3,1.0,26.81436207,86.10390805,24.31216092,0.25,0.593965517,173.9448276
2,4,1.0,26.66811494,86.83885057,24.31051149,0.254482759,0.581149425,177.4103448
2,5,1.0,26.5024023,87.44143678,24.2616092,0.258390805,0.579712644,177.2770115
2,6,1.012068966,26.39226437,87.69729885,24.19952299,0.233965517,0.554367816,182.4867816
2,7,3.798850575,26.56750575,87.17942529,24.27001149,0.242298851,0.582643678,178.2925287
2,8,15.52643678,27.39825287,84.85741379,24.63325287,0.356436782,0.823045977,172.0097701
2,9,32.20172414,28.45429885,80.65770115,24.81267816,0.525172414,1.173218391,182.7908046
2,10,46.09137931,29.51501724,75.2604023,24.68008046,0.609137931,1.325862069,177.7551724
2,11,71.5591954,30.46285057,70.89511494,24.56601149,0.624712644,1.343678161,171.4936782
2,12,194.7270115,31.376,66.77948276,24.42120115,0.709310345,1.49908046,172.2126437
2,13,196.695977,31.96200575,64.25005747,24.30441954,0.759482759,1.566149425,178.6218391
2,14,180.3965517,31.98556322,63.90706897,24.15490805,0.700057471,1.461551724,181.3902299
2,15,151.0045977,31.54394253,64.93936782,23.98208046,0.724942529,1.53,168.9448276
2,16,139.1563218,31.35920115,65.57545977,23.96141379,0.686494253,1.483218391,154.2287356
2,17,86.6637931,30.92343678,67.16632184,23.97122989,0.657011494,1.409310345,160.9557471
2,18,24.58850575,30.07227586,70.65229885,24.06290805,0.565517241,1.232643678,150.4821839
2,19,1.472413793,29.12992529,74.35775862,24.05517241,0.470114943,1.045114943,154.6195402
2,20,1.0,28.41134483,77.66833333,24.11983908,0.402356322,0.924482759,153.8913793
2,21,1.0,27.93098276,80.13097701,24.19068966,0.379310345,0.871551724,154.6356322
2,22,1.0,27.58149425,81.88172414,24.21148851,0.371149425,0.831149425,155.4028736
2,23,1.0,27.41541379,82.92764368,24.26378736,0.33091954,0.744310345,155.9022989
3,0,1.0,27.45294086,84.36360215,24.5731828,0.275,0.586236559,169.266129
3,1,1.0,27.23172581,85.35688172,24.55689785,0.239784946,0.51827957,177.605914
3,2,1.0,27.08198387,85.97887097,24.53717204,0.222473118,0.487795699,178.5376344
3,3,1.0,26.91886022,86.77252688,24.53377419,0.237741935,0.507473118,185.5903226
3,4,1.0,26.83273118,87.14725806,24.5245,0.227741935,0.486129032,179.9215054
3,5,1.0,26.76193548,87.34704301,24.49203763,0.21516129,0.462956989,195.0962366
3,6,1.0,26.72996237,87.52833333,24.4971828,0.187526882,0.423064516,195.5994624
3,7,4.771505376,26.81756989,87.41827957,24.5627043,0.183548387,0.417849462,200.088172
3,8,16.69193548,27.68292473,85.10908602,24.95828495,0.326236559,0.726827957,189.4129032
3,9,33.64569892,28.82468817,80.31586022,25.08860215,0.531989247,1.128602151,178.0876344
3,10,45.50430108,29.79426344,75.25413978,24.91073656,0.597849462,1.251989247,179.6408602
3,11,69.24247312,30.51959677,71.56290323,24.72814516,0.532688172,1.140483871,184.1887097
3,12,126.6913978,31.22904839,68.33258065,24.60933333,0.539354839,1.134032258,182.922043
3,13,160.3462366,31.85022581,66.20682796,24.63541398,0.55344086,1.13344086,196.4107527
3,14,191.2623656,32.05357527,65.88784946,24.7401129,0.584032258,1.185268817,198.038172
3,15,147.4112903,31.69362903,67.1477957,24.70880108,0.616666667,1.198817204,211.9354839
3,16,111.9784946,31.22352151,68.73274194,24.60773656,0.547365591,1.127258065,197.1629032
3,17,104.2155914,30.60813441,70.98903226,24.53430645,0.49844086,1.016397849,193.4817204
3,18,22.48494624,29.91274731,72.79731183,24.33601613,0.429784946,0.897473118,183.7295699
3,19,1.300537634,29.16313978,75.49263441,24.27288172,0.390537634,0.833387097,176.4951613
3,20,1.0,28.56500538,77.99752688,24.28276882,0.348172043,0.74016129,164.6317204
3,21,1.0,28.18070968,80.25672043,24.42593011,0.314623656,0.689569892,167.6510753
3,22,1.0,27.94946774,81.74263441,24.52584409,0.269892473,0.589408602,173.7704301
3,23,1.0,27.75805376,82.87806452,24.57777419,0.27344086,0.576344086,179.1430108
4,0,1.0,27.63438889,85.25544444,24.92709444,0.116333333,0.281111111,220.1394444
4,1,1.0,27.44187778,85.94272222,24.87954444,0.088888889,0.225277778,228.0416667
