Month,Hour,"Rain, mm, #18 - Sports Field","Solar Radiation, W/m^2, #18 - Sports Field","Temperature, *C, #18 - Sports Field","RH, %, #18 - Sports Field","Dew Point, *C, #18 - Sports Field","Wind Speed, m/s, #18 - Sports Field","Gust Speed, m/s, #18 - Sports Field","Wind Direction, *, #18 - Sports Field"
1,0,0.0,1.0,26.74741935,88.36887097,24.66812366,0.940860215,1.563870968,161.0543011
1,1,0.0,1.0,26.4988871,89.13376344,24.56896237,0.907311828,1.508817204,160.7016129
1,2,0.000430108,1.0,26.26182258,90.08134409,24.51389247,0.840215054,1.40844086,160.4306452
1,3,0.0,1.0,26.10966129,90.86580645,24.51059677,0.807580645,1.352795699,162.8349462
1,4,0.0,1.0,25.93521505,91.69284946,24.49213978,0.760537634,1.278817204,166.1586022
1,5,0.0,1.0,25.82008602,92.38462366,24.50713441,0.684462366,1.163387097,156.2010753
1,6,0.0,1.108333333,25.77649462,92.66903226,24.51774194,0.698225806,1.175860215,150.7876344
1,7,0.0,38.09305556,26.08013978,92.02129032,24.70085484,0.706182796,1.184784946,146.2086022
1,8,0.0,178.0638889,27.54145699,87.12811828,25.21522581,1.166397849,1.878817204,128.8983871
1,9,0.0,347.8680556,28.79127957,81.78494624,25.37339785,1.621182796,2.688709677,126.9
1,10,0.0,500.2597222,29.89859677,76.25752688,25.25358602,1.753978495,2.954193548,132.9258065
1,11,0.0,612.0930556,30.91619355,71.87365591,25.2267043,1.782473118,2.939946237,133.594086
1,12,0.002903226,628.2736111,31.47774194,69.17516129,25.09677908,1.76155914,2.962580645,136.7091398
1,13,0.011935484,576.6902778,31.71689198,67.96978495,24.95985,1.652502444,2.812673509,137.1230205
1,14,0.037096774,451.8888889,31.69443817,67.80399194,24.85831048,1.660913978,2.792943548,146.3758065
1,15,0.00827957,342.5805556,31.36774731,69.43704301,24.91211828,1.607096774,2.716236559,148.9827957
1,16,0.025268817,225.9694444,30.76623118,71.54892473,24.8002043,1.548225806,2.610215054,155.3876344
1,17,0.006236559,100.2277778,30.00772581,74.63650538,24.79905914,1.48327957,2.494946237,164.6516129
1,18,0.021827957,39.275,29.21290323,77.09462366,24.66108602,1.37188172,2.324247312,164.6510753
1,19,0.01344086,1.888888889,28.33604301,80.28032258,24.54537097,1.286344086,2.169301075,159.9091398
1,20,0.000967742,1.0,27.76750538,82.91704301,24.5631828,1.173870968,1.982526882,159.9360215
1,21,0.0,1.0,27.44385484,84.60430108,24.60375269,1.118010753,1.874623656,156.2456989
1,22,0.000322581,1.0,27.21152151,86.0144086,24.66317742,1.017688172,1.701182796,164.0784946
1,23,0.000860215,1.0,27.01132796,87.29994624,24.72409629,0.969892473,1.611397849,170.1327957
2,0,0.0,1.0,26.98352299,87.64597701,24.77418966,0.94183908,1.576551724,174.7304598
2,1,0.000114943,1.0,26.74821839,88.78287356,24.75875862,0.910574713,1.517011494,169.0011494
2,2,0.0,1.0,26.55768966,89.89356322,24.78131609,0.789022989,1.337816092,162.2201149
2,3,0.000114943,1.0,26.37314368,90.87068966,24.78272989,0.794367816,1.337413793,158.7885057
2,4,0.00183908,1.0,26.22737356,91.55517241,24.76363793,0.736896552,1.25408046,164.0770115
2,5,0.019425287,1.0,26.04604598,92.12241379,24.68695977,0.736091954,1.232471264,154.2436782
2,6,0.002528736,1.476666667,25.93514943,92.44505747,24.63350575,0.676551724,1.174425287,164.4977011
2,7,0.0,53.15166667,26.28418391,91.40189655,24.78046552,0.842586207,1.429137931,145.6683908
2,8,0.0,211.4416667,27.61327011,87.1991954,25.29550575,1.248793103,2.071494253,130.6545977
2,9,0.0,380.7083333,28.90512069,81.73086207,25.47109195,1.632068966,2.733793103,132.195977
2,10,0.000229885,571.2916667,30.0761954,75.68442529,25.30891379,1.80954023,3.02545977,136.045977
2,11,0.000114943,653.05,30.986,71.31965517,25.15712644,1.889885057,3.207183908,137.6103448
2,12,0.000114943,689.3233333,31.79812069,67.51511494,24.99902874,1.893908046,3.224885057,140.4034483
2,13,0.00091954,654.6516667,32.27113793,65.49402299,24.91727011,1.92316092,3.271609195,137.0316092
2,14,0.015632184,449.57,32.12521839,65.65172414,24.72795402,1.922701149,3.282068966,140.3224138
2,15,0.006666667,326.9133333,31.60895977,66.95155172,24.5456092,1.954712644,3.300632184,141.3632184
2,16,0.003563218,257.4283333,31.3376954,67.69045977,24.46541954,1.905114943,3.220977011,145.8103448
2,17,0.002643678,98.14,30.74631609,69.80505747,24.4354023,1.794655172,3.038275862,146.6942529
