Month,Hour,"Solar Radiation, W/m^2, #06 - Central Library","Temperature, *C, #06 - Central Library","RH, %, #06 - Central Library","Dew Point, *C, #06 - Central Library","Wind Speed, m/s, #06 - Central Library","Gust Speed, m/s, #06 - Central Library","Wind Direction, *, #06 - Central Library"
1,0,1.0,26.75808065,87.93311828,24.59545699,0.66827957,1.197096774,210.1758065
1,1,1.0,26.54193011,88.60026882,24.50974731,0.653494624,1.157043011,213.0930108
1,2,1.0,26.29619892,89.61247312,24.46169892,0.611075269,1.094516129,211.4134409
1,3,1.0,26.14862366,90.37569892,24.46017742,0.554731183,1.010591398,210.477957
1,4,1.0,26.01674731,90.99209677,24.44611828,0.507741935,0.932419355,206.7956989
1,5,1.0,25.91273656,91.60956989,24.46111828,0.440322581,0.843602151,194.2225806
1,6,1.01954023,25.88343011,91.72795699,24.45344624,0.471182796,0.871451613,210.6295699
1,7,12.71896552,26.01583333,91.60672043,24.56297312,0.465483871,0.859301075,206.1629032
1,8,89.47126437,27.00348387,88.32919355,24.91902688,0.680698925,1.277526882,227.5672043
1,9,292.8534483,28.68546237,81.89252688,25.2902957,0.895376344,1.72844086,229.1543011
1,10,462.858046,29.83175806,76.41763441,25.22017204,1.068172043,1.995591398,222.7639785
1,11,538.3994253,30.88092473,72.02360215,25.22260753,1.028494624,1.90672043,207.644086
1,12,526.6758621,31.39466129,69.29973118,25.05360215,1.143387097,2.017795699,191.3655914
1,13,308.9343186,31.51780108,68.28254224,24.85734793,1.164162826,2.007380952,183.9646697
1,14,236.3845238,31.4749,68.23920182,24.75395556,1.132684036,1.925343259,172.7838889
1,15,167.3190476,31.10476667,70.17990783,24.77363333,1.04030722,1.827058372,178.5144444
1,16,106.8017857,30.51177222,72.59833333,24.65567222,1.006790736,1.786095947,179.9183333
1,17,64.65595238,29.79071111,75.57209677,24.67317778,0.880053763,1.618494624,181.7883333
1,18,21.69404762,29.18192778,77.25924731,24.54152222,0.888333333,1.637473118,203.305
1,19,1.451190476,28.35718333,80.30473118,24.4409,0.854784946,1.592473118,216.9366667
1,20,1.0,27.79921667,82.75516129,24.46224444,0.713172043,1.34155914,210.8877778
