Month,Hour,"Solar Radiation, W/m^2, #07 - Ventus Carpark","Temperature, *C, #07 - Ventus Carpark","RH, %, #07 - Ventus Carpark","Dew Point, *C, #07 - Ventus Carpark","Wind Speed, m/s, #07 - Ventus Carpark","Gust Speed, m/s, #07 - Ventus Carpark","Wind Direction, *, #07 - Ventus Carpark"
1,0,1.0,26.51926882,90.36763441,24.81415591,0.027741935,0.148548387,198.4462366
1,1,1.0,26.22026882,91.36263441,24.7043172,0.040967742,0.164677419,186.0521505
1,2,1.0,25.97341935,92.35709677,24.64595699,0.027096774,0.138172043,194.8198925
1,3,1.0,25.81396237,93.13123656,24.62968817,0.01688172,0.109408602,184.8951613
1,4,1.0,25.66806989,93.87392473,24.62098387,0.013655914,0.093655914,179.1467742
1,5,1.0,25.57074731,94.56145161,24.64873656,0.011935484,0.085806452,185.3924731
1,6,1.062820513,25.5562957,94.69596774,24.65808602,0.01344086,0.092688172,189.2392473
1,7,19.38589744,25.77212366,94.44290323,24.82483871,0.022150538,0.112903226,187.1854839
1,8,86.88461538,26.82272581,91.51639785,25.33016129,0.04688172,0.212473118,197.0623656
1,9,252.2679487,28.78401613,84.53801075,25.91667742,0.102580645,0.393333333,201.4758065
1,10,388.2961538,30.25620968,78.1994086,26.01699267,0.147526882,0.508924731,204.5069892
1,11,530.3423077,31.40836559,73.36462366,26.01578333,0.165913978,0.558870968,199.0064516
1,12,586.0769231,31.92441935,70.50478495,25.82470244,0.231612903,0.683548387,185.0811828
1,13,485.0294872,32.07976108,69.54670207,25.6658046,0.245586153,0.717524259,174.2570417
1,14,406.3397436,32.09415903,69.18142332,25.57922632,0.252235427,0.741825127,167.6391907
1,15,330.0871795,31.75452701,70.84930763,25.61260041,0.232800944,0.678603462,166.2707579
1,16,278.0333333,31.00201358,73.15544992,25.37758304,0.22040747,0.667238257,163.9269383
1,17,137.1769231,29.88394624,77.19715054,25.23795556,0.193010753,0.587795699,155.411828
1,18,37.29487179,29.05826344,79.35172043,24.98845,0.139354839,0.461290323,164.833871
1,19,1.688461538,28.21001613,82.14526882,24.78723333,0.088602151,0.356666667,170.3048387
1,20,1.0,27.64905376,84.50709677,24.74127778,0.062258065,0.270107527,168.1827957
1,21,1.0,27.22788172,86.61086022,24.75996667,0.042688172,0.205483871,181.9655914
1,22,1.0,26.94695161,88.26069892,24.81601111,0.029784946,0.167526882,187.8080645
1,23,1.0,26.744,89.50397849,24.86231667,0.025483871,0.148817204,193.4376344
2,0,1.0,26.81232759,89.39287356,24.93407471,0.012298851,0.085172414,205.0471264
2,1,1.0,26.57606897,90.5395977,24.91543103,0.010804598,0.078045977,208.9568966
2,2,1.0,26.35416667,91.86563218,24.9425,0.009195402,0.060804598,217.0649425
2,3,1.0,26.15131609,92.91298851,24.93372414,0.00954023,0.059885057,209.3063218
2,4,1.0,26.00298851,93.65373563,24.91917241,0.00862069,0.060574713,205.0706897
2,5,1.0,25.81587356,94.31994253,24.85198276,0.013908046,0.07683908,206.3413793
2,6,1.295454545,25.72507471,94.51132184,24.79521264,0.009655172,0.058390805,212.7666667
2,7,25.4,25.94331609,93.87316092,24.891,0.016896552,0.094597701,193.4804598
2,8,107.919697,26.94498276,91.28689655,25.40181609,0.04045977,0.181034483,206.2028736
2,9,259.9810207,28.7606585,84.78059286,25.9363297,0.072183908,0.300771325,205.9766788
2,10,432.6234848,30.3266408,77.56666667,25.95487931,0.122873563,0.433103448,203.2652299
2,11,638.7016667,31.50155357,72.53971264,25.92166092,0.162643678,0.519712644,193.0005952
2,12,680.105,32.24600595,68.72189655,25.71675862,0.194712644,0.613678161,190.3922619
2,13,656.58,32.67708333,66.88833333,25.64470115,0.192643678,0.612586207,192.9202381
2,14,463.9733333,32.57472024,66.87758621,25.47608046,0.230804598,0.710229885,184.5446429
2,15,278.0233333,31.95147024,68.20022989,25.23572989,0.182758621,0.604195402,197.7732143
2,16,275.225,31.38633333,69.48155172,25.00606897,0.16091954,0.536321839,198.0672619
2,17,161.31,30.56119643,71.97028736,24.83105172,0.122873563,0.452126437,198.4363095
2,18,36.25833333,29.525875,76.08011494,24.8163046,0.083448276,0.351494253,192.9107143
2,19,1.565,28.54052381,80.1733908,24.77863218,0.054137931,0.250747126,190.4916667
2,20,1.0,27.93799405,83.17994253,24.82845402,0.034597701,0.191264368,205.4970238
2,21,1.0,27.528125,85.47793103,24.89102299,0.031034483,0.166436782,210.0886905
2,22,1.0,27.11932738,87.5891954,24.89072414,0.024022989,0.142413793,203.9327381
2,23,1.0,26.89602976,88.8633908,24.91737931,0.014367816,0.102988506,209.7565476
3,0,1.0,26.7812957,91.00188172,25.18366667,0.019354839,0.090967742,172.4569892
3,1,1.0,26.54193548,92.18903226,25.17181183,0.011182796,0.062795699,162.7913978
3,2,1.0,26.39282796,92.79258065,25.13654839,0.011182796,0.059784946,156.8005376
3,3,1.0,26.2265914,93.56419355,25.11541398,0.011397849,0.06311828,159.7489247
3,4,1.0,26.11503226,93.96204301,25.0783172,0.014516129,0.067956989,151.2564516
3,5,1.0,26.04096237,94.22451613,25.05219355,0.018709677,0.081505376,159.1849462
3,6,1.033333333,25.96766129,94.61698925,25.05272581,0.019784946,0.081182796,135.0693548
3,7,24.54166667,26.13248925,94.41537634,25.17927419,0.01827957,0.085268817,144.3043011
3,8,102.755,27.28027957,91.36069892,25.75085484,0.039032258,0.164247312,183.3182796
3,9,247.495,29.36899462,83.85317204,26.32465591,0.084623656,0.300913978,167.4403226
3,10,320.5033333,30.57105914,77.70010753,26.17515591,0.13,0.436236559,173.8844086
3,11,490.4883333,31.52529032,73.41693548,26.08579032,0.121827957,0.412311828,170.8172043
3,12,511.8733333,31.88303226,71.6427957,25.97188172,0.124193548,0.412473118,157.3768817
3,13,439.29,32.29559677,70.17413978,26.01736022,0.169569892,0.515752688,138.7392473
